Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |     163,108.8 |      92,824.7 |    -43.1% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,180,069 |     1,300,948 |    -40.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,405,698 |    21,954,195 |     13.1% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    26,498,811 |    23,453,404 |    -11.5% | 
smsp__warps_issue_stalled_sleeping.avg                                 |      21,891.5 |      19,402.4 |    -11.4% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     275,397.4 |     246,530.6 |    -10.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       6,677.7 |       7,363.4 |     10.3% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,199.4 |       2,420.5 |     10.0% | warp
dram__sectors_read.sum                                                 |   203,829,376 |   187,926,832 |     -7.8% | sector
