Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,554.7 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     223,098.5 |    140.7% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         600.0 |   -100.0% | 
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     281,829.8 |     99.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |      85,359.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       2,047.0 |    -99.5% | 
dram__sectors_write.sum                                                |    43,734,200 |     308,816.0 |    -99.3% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         17.60 |    -99.2% | warp
lts__t_sectors_op_write.sum                                            |    66,843,374 |     665,250.0 |    -99.0% | sector
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |         865.1 |    -96.6% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |       1,465.5 |    -95.2% | warp
smsp__inst_executed.sum                                                |   141,729,628 |    47,387,721 |    -66.6% | inst
dram__sectors_read.sum                                                 |    89,189,752 |   132,587,064 |     48.7% | sector
launch__registers_per_thread                                           |         186.0 |         96.00 |    -48.4% | register/thread
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         406.5 |    -29.7% | warp
lts__t_sectors.sum                                                     |   631,812,727 |   559,395,880 |    -11.5% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,004 |     -5.3% | cycle
