Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,307.0 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     248,502.7 |    706.6% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.66 |    -99.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,090.8 |    -67.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     364,725.1 |     59.9% | warp
launch__registers_per_thread                                           |         252.0 |         119.0 |    -52.8% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     1,305,476 |    -52.3% | warp
smsp__inst_executed.sum                                                |   163,089,410 |    98,172,237 |    -39.8% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    23,879,451 |    -36.8% | 
dram__sectors_read.sum                                                 |   133,747,408 |   172,839,624 |     29.2% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |      97,163.0 |    -28.1% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         41.00 |         51.04 |     24.5% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    47,643,708 |    -21.1% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    22,761,437 |     18.8% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       2,278.7 |    -11.2% | warp
lts__t_sectors_op_read.sum                                             |   606,622,897 |   637,453,663 |      5.1% | sector
