Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |     163,108.8 |      97,163.0 |    -40.4% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,180,069 |     1,305,476 |    -40.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,405,698 |    22,761,437 |     17.3% | 
dram__sectors_read.sum                                                 |   203,829,376 |   172,839,624 |    -15.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    26,498,811 |    23,879,451 |     -9.9% | 
smsp__warps_issue_stalled_barrier.avg                                  |     275,397.4 |     248,502.7 |     -9.8% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      21,891.5 |      20,307.0 |     -7.2% | warp
lts__t_sectors_op_read.sum                                             |   683,136,890 |   637,453,663 |     -6.7% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       6,677.7 |       7,090.8 |      6.2% | warp
lts__t_sectors.sum                                                     |   751,378,211 |   705,367,050 |     -6.1% | sector
smsp__warps_issue_stalled_wait.avg                                     |     384,524.2 |     364,725.1 |     -5.1% | warp
