Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,709.0 |    23,879,451 | 1397176.2% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      24,488.1 |      97,163.0 |    296.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    15,717,508 |    47,643,708 |    203.1% | 
smsp__warps_issue_stalled_not_selected.avg                             |       3,143.1 |       7,090.8 |    125.6% | warp
dram__sectors_read.sum                                                 |   103,701,824 |   172,839,624 |     66.7% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    14,937,125 |    22,761,437 |     52.4% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       1,509.8 |       2,278.7 |     50.9% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         34.33 |         51.04 |     48.7% | %
smsp__inst_executed.sum                                                |    67,025,230 |    98,172,237 |     46.5% | inst
launch__registers_per_thread                                           |         159.0 |         119.0 |    -25.2% | register/thread
lts__t_sector_hit_rate.pct                                             |         64.99 |         53.00 |    -18.4% | %
smsp__warps_issue_stalled_wait.avg                                     |     311,982.5 |     364,725.1 |     16.9% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,525,142 |     1,305,476 |    -14.4% | warp
lts__t_sectors_op_read.sum                                             |   568,077,528 |   637,453,663 |     12.2% | sector
lts__t_sectors.sum                                                     |   635,907,994 |   705,367,050 |     10.9% | sector
