Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         594.0 |    22,761,437 | 3831791.8% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,709.0 |    23,879,451 | 1397176.2% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      82,861.0 |    47,643,708 |  57398.4% | 
dram__sectors_write.sum                                                |     181,296.0 |    44,096,776 |  24223.1% | sector
lts__t_sectors_op_write.sum                                            |     403,359.0 |    67,245,104 |  16571.3% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |       1,888.8 |      97,163.0 |   5044.1% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         46.30 |       2,278.7 |   4821.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         264.9 |       7,090.8 |   2576.9% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         22.10 |         51.04 |    131.0% | %
smsp__warps_issue_stalled_sleeping.avg                                 |       8,821.7 |      20,307.0 |    130.2% | warp
smsp__inst_executed.sum                                                |    45,728,380 |    98,172,237 |    114.7% | inst
dram__sectors_read.sum                                                 |    92,251,040 |   172,839,624 |     87.4% | sector
smsp__warps_issue_stalled_wait.avg                                     |     264,802.5 |     364,725.1 |     37.7% | warp
lts__t_sectors.sum                                                     |   527,200,058 |   705,367,050 |     33.8% | sector
lts__t_sector_hit_rate.pct                                             |         75.32 |         53.00 |    -29.6% | %
launch__registers_per_thread                                           |         96.00 |         119.0 |     24.0% | register/thread
lts__t_sectors_op_read.sum                                             |   526,363,218 |   637,453,663 |     21.1% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,615,865 |     1,305,476 |    -19.2% | warp
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         62.48 |         72.71 |     16.4% | %
smsp__warps_issue_stalled_barrier.avg                                  |     223,125.3 |     248,502.7 |     11.4% | warp
