Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |         974.3 |       1,888.8 |     93.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         46.30 |    -79.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |         264.9 |    -52.5% | warp
dram__sectors_write.sum                                                |     380,752.0 |     181,296.0 |    -52.4% | sector
dram__sectors_read.sum                                                 |   164,774,520 |    92,251,040 |    -44.0% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         38.67 |         22.10 |    -42.8% | %
lts__t_sectors_op_write.sum                                            |     675,530.0 |     403,359.0 |    -40.3% | sector
lts__t_sector_hit_rate.pct                                             |         54.43 |         75.32 |     38.4% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,860 |     1,615,865 |    -35.5% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      11,632.7 |       8,821.7 |    -24.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,073.0 |       1,709.0 |    -17.6% | 
lts__t_sectors.sum                                                     |   568,755,714 |   527,200,058 |     -7.3% | sector
lts__t_sectors_op_read.sum                                             |   567,736,371 |   526,363,218 |     -7.3% | sector
