Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,005.0 |    27,999,359 | 1396376.8% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      28,413.0 |     169,823.4 |    497.7% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,054,720 |    48,053,094 |    181.8% | 
dram__sectors_read.sum                                                 |   102,585,408 |   185,868,968 |     81.2% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       4,518.7 |       7,192.6 |     59.2% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         34.02 |         53.28 |     56.6% | %
smsp__inst_executed.sum                                                |    71,298,428 |   102,633,886 |     43.9% | inst
launch__registers_per_thread                                           |         158.0 |         117.0 |    -25.9% | register/thread
lts__t_sector_hit_rate.pct                                             |         62.26 |         48.69 |    -21.8% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    15,847,687 |    18,831,054 |     18.8% | 
smsp__warps_issue_stalled_wait.avg                                     |     336,507.8 |     382,890.4 |     13.8% | warp
lts__t_sectors_op_read.sum                                             |   602,678,736 |   675,703,735 |     12.1% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,399,085 |     2,137,355 |    -10.9% | warp
lts__t_sectors.sum                                                     |   670,622,026 |   743,780,576 |     10.9% | sector
