Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      17,405.5 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     267,210.4 |    767.3% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.91 |    -99.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     422,400.4 |     85.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,577.0 |    -65.3% | warp
launch__registers_per_thread                                           |         252.0 |         117.0 |    -53.6% | register/thread
smsp__inst_executed.sum                                                |   163,089,410 |   109,171,768 |    -33.1% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |     179,844.1 |     33.0% | warp
dram__sectors_read.sum                                                 |   133,747,408 |   174,204,824 |     30.2% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     2,023,013 |    -26.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    27,934,120 |    -26.0% | 
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         41.00 |         51.29 |     25.1% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    50,044,118 |    -17.1% | 
lts__t_sectors_op_read.sum                                             |   606,622,897 |   671,123,868 |     10.6% | sector
lts__t_sectors.sum                                                     |   673,865,121 |   739,195,310 |      9.7% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    20,425,160 |      6.6% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       2,720.8 |      6.1% | warp
