Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_mio_throttle.avg                             |         439.1 |       5,558.0 |   1165.9% | warp
dram__sectors_read.sum                                                 |    72,219,792 |    34,359,232 |    -52.4% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |     393,058.4 |     515,508.6 |     31.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     1,126,122 |     1,375,118 |     22.1% | warp
smsp__cycles_active.avg                                                |     3,683,135 |     4,205,284 |     14.2% | cycle
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,272,479 |    51,269,415 |     13.2% | 
smsp__warps_issue_stalled_not_selected.avg                             |     124,592.4 |     140,880.6 |     13.1% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,156.8 |      42,376.0 |      8.2% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,166,841 |     1,254,606 |      7.5% | warp
smsp__inst_executed.sum                                                |   972,854,187 | 1,043,145,012 |      7.2% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,729,276 |    84,264,721 |      7.0% | 
lts__t_sectors_op_read.sum                                             |   578,335,381 |   539,657,513 |     -6.7% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     554,287.1 |     589,056.4 |      6.3% | warp
