Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,880.0 |    27,741,511 | 1475512.3% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         160.7 |       5,756.3 |   3481.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      20,217.2 |     139,573.3 |    590.4% | warp
smsp__inst_executed.sum                                                |   232,099,104 | 1,043,147,644 |    349.4% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      11,250.3 |      48,302.0 |    329.3% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      44,810.8 |     145,811.6 |    225.4% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     221,179.5 |     525,325.0 |    137.5% | warp
dram__bytes_read.sum                                                   |         851.6 |          1.13 |    -99.9% | Mbyte
smsp__warps_issue_stalled_barrier.avg                                  |     362,629.5 |     591,024.5 |     63.0% | warp
smsp__warps_issue_stalled_wait.avg                                     |     856,243.9 |     1,362,783 |     59.2% | warp
smsp__cycles_active.avg                                                |     2,664,808 |     4,200,340 |     57.6% | cycle
dram__sectors_read.sum                                                 |    26,611,512 |    35,257,120 |     32.5% | sector
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         61.42 |         42.94 |    -30.1% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         55.79 |         39.34 |    -29.5% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         59.65 |         42.10 |    -29.4% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,747,421 |     1,253,510 |    -28.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    66,445,015 |    84,308,722 |     26.9% | 
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         50.53 |         37.35 |    -26.1% | %
launch__registers_per_thread                                           |         148.0 |         110.0 |    -25.7% | register/thread
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    61,877,206 |    51,155,230 |    -17.3% | 
