Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_mio_throttle.avg                             |         439.1 |       5,340.9 |   1116.5% | warp
dram__sectors_read.sum                                                 |    72,219,792 |    33,800,080 |    -53.2% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,156.8 |      51,733.3 |     32.1% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     393,058.4 |     516,142.7 |     31.3% | warp
smsp__warps_issue_stalled_wait.avg                                     |     1,126,122 |     1,332,839 |     18.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,272,479 |    52,253,847 |     15.4% | 
smsp__cycles_active.avg                                                |     3,683,135 |     4,171,262 |     13.3% | cycle
smsp__warps_issue_stalled_not_selected.avg                             |     124,592.4 |     137,421.5 |     10.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,729,276 |    86,038,333 |      9.3% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,166,841 |     1,264,659 |      8.4% | warp
smsp__inst_executed.sum                                                |   972,854,187 | 1,039,118,424 |      6.8% | inst
smsp__warps_issue_stalled_barrier.avg                                  |     554,287.1 |     589,807.0 |      6.4% | warp
lts__t_sectors_op_read.sum                                             |   578,335,381 |   545,770,741 |     -5.6% | sector
