Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         597.0 |    45,272,479 | 7583229.8% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,904.0 |    28,322,956 | 1487450.2% | 
dram__sectors_write.sum                                                |     102,072.0 |   176,536,544 | 172853.0% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         526.5 |     393,058.4 |  74556.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     311,103.0 |    78,729,276 |  25206.5% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         188.5 |      39,156.8 |  20676.1% | warp
lts__t_sectors_op_write.sum                                            |     2,131,989 |   269,518,998 |  12541.7% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       1,417.2 |     124,592.4 |   8691.6% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         439.1 |   3891.4% | warp
smsp__inst_executed.sum                                                |    54,982,848 |   972,854,187 |   1669.4% | inst
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          5.19 |         30.17 |    481.3% | %
smsp__warps_issue_stalled_wait.avg                                     |     346,923.0 |     1,126,122 |    224.6% | warp
dram__sectors_read.sum                                                 |    28,083,664 |    72,219,792 |    157.2% | sector
dram__bytes_read.sum                                                   |         898.7 |          2.31 |    -99.7% | Mbyte
smsp__warps_issue_stalled_barrier.avg                                  |     302,292.6 |     554,287.1 |     83.4% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      86,621.2 |     144,844.0 |     67.2% | warp
lts__t_sectors.sum                                                     |   526,644,545 |   848,517,169 |     61.1% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,799,125 |     1,166,841 |    -58.3% | warp
smsp__cycles_active.avg                                                |     2,501,886 |     3,683,135 |     47.2% | cycle
lts__t_sector_hit_rate.pct                                             |         89.37 |         53.74 |    -39.9% | %
launch__registers_per_thread                                           |         78.00 |         105.0 |     34.6% | register/thread
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         72.28 |         47.41 |    -34.4% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         70.84 |         46.47 |    -34.4% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         51.81 |         41.29 |    -20.3% | %
lts__t_sectors_op_read.sum                                             |   524,407,493 |   578,335,381 |     10.3% | sector
