Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,858.0 |    29,821,472 | 1604930.8% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |       1,948.8 |  17616.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      12,985.8 |     132,974.4 |    924.0% | warp
smsp__inst_executed.sum                                                |   177,386,240 |   987,568,308 |    456.7% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       8,261.6 |      30,920.7 |    274.3% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     113,283.9 |     374,513.3 |    230.6% | warp
dram__bytes_read.sum                                                   |         848.5 |          1.19 |    -99.9% | Mbyte
smsp__warps_issue_stalled_wait.avg                                     |     688,563.3 |     1,186,222 |     72.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,697,315 |    80,222,454 |     61.4% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,457,057 |     1,135,247 |    -53.8% | warp
dram__sectors_read.sum                                                 |    26,515,440 |    37,157,408 |     40.1% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |     104,215.9 |     145,022.7 |     39.2% | warp
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         66.09 |         47.73 |    -27.8% | %
smsp__cycles_active.avg                                                |     2,941,076 |     3,739,073 |     27.1% | cycle
launch__registers_per_thread                                           |         148.0 |         110.0 |    -25.7% | register/thread
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         61.08 |         46.79 |    -23.4% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         57.13 |         43.78 |    -23.4% | %
smsp__warps_issue_stalled_barrier.avg                                  |     503,383.4 |     556,676.7 |     10.6% | warp
lts__t_sectors_op_read.sum                                             |   514,075,650 |   547,086,373 |      6.4% | sector
