Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__bytes_read.sum                                                   |          1.82 |         715.6 |  39217.6% | Gbyte
smsp__warps_issue_stalled_not_selected.avg                             |      10,108.8 |      18,607.7 |     84.1% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       5,436.6 |       9,784.0 |     80.0% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |     134,301.0 |      45,682.7 |    -66.0% | warp
dram__sectors_read.sum                                                 |    56,766,424 |    22,361,840 |    -60.6% | sector
smsp__warps_issue_stalled_wait.avg                                     |     626,359.9 |     918,421.7 |     46.6% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     101,518.0 |     146,392.8 |     44.2% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,999,167 |     1,802,650 |    -39.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,241,298 |    60,999,963 |     34.8% | 
smsp__inst_executed.sum                                                |   161,534,997 |   217,440,549 |     34.6% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,885,700 |    65,641,683 |     31.6% | 
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         44.77 |         57.89 |     29.3% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         53.15 |         67.09 |     26.2% | %
smsp__warps_issue_stalled_barrier.avg                                  |     493,354.5 |     367,154.7 |    -25.6% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         49.98 |         62.72 |     25.5% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         57.11 |         69.22 |     21.2% | %
smsp__cycles_active.avg                                                |     3,228,937 |     2,680,948 |    -17.0% | cycle
