Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,858.0 |    29,247,980 | 1574064.7% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         474.3 |   4211.9% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      11,232.9 |     121,017.7 |    977.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       4,793.3 |      41,539.2 |    766.6% | warp
smsp__inst_executed.sum                                                |   168,537,307 |   978,889,921 |    480.8% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     106,543.6 |     384,324.8 |    260.7% | warp
smsp__warps_issue_stalled_wait.avg                                     |     629,232.2 |     1,127,768 |     79.2% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     3,077,865 |     1,170,357 |    -62.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,824,483 |    79,517,044 |     59.6% | 
lts__t_sectors_op_read.sum                                             |   383,664,309 |   505,005,169 |     31.6% | sector
launch__registers_per_thread                                           |         150.0 |         110.0 |    -26.7% | register/thread
lts__t_sectors.sum                                                     |   656,976,338 |   775,290,885 |     18.0% | sector
dram__sectors_read.sum                                                 |    25,812,472 |    22,942,976 |    -11.1% | sector
dram__bytes_read.sum                                                   |         826.0 |         734.2 |    -11.1% | Mbyte
smsp__cycles_active.avg                                                |     3,306,839 |     3,670,214 |     11.0% | cycle
smsp__warps_issue_stalled_barrier.avg                                  |     501,075.1 |     544,330.0 |      8.6% | warp
