Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         593.0 |    45,226,986 | 7626710.5% | 
dram__sectors_write.sum                                                |     109,232.0 |   176,374,552 | 161367.8% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         464.3 |     106,543.6 |  22847.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     311,028.0 |    49,824,483 |  15919.3% | 
lts__t_sectors_op_write.sum                                            |     2,137,195 |   269,440,330 |  12507.2% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         348.8 |       4,793.3 |   1274.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,389.2 |      11,232.9 |    708.6% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.21 |         28.69 |    581.5% | %
smsp__inst_executed.sum                                                |    68,766,824 |   168,537,307 |    145.1% | inst
launch__registers_per_thread                                           |         75.00 |         150.0 |    100.0% | register/thread
smsp__warps_issue_stalled_sleeping.avg                                 |      73,877.9 |     140,802.0 |     90.6% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     290,754.1 |     501,075.1 |     72.3% | warp
smsp__warps_issue_stalled_wait.avg                                     |     367,863.4 |     629,232.2 |     71.1% | warp
lts__t_sector_hit_rate.pct                                             |         93.31 |         52.53 |    -43.7% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         36.16 |         51.17 |     41.5% | %
smsp__cycles_active.avg                                                |     2,438,263 |     3,306,839 |     35.6% | cycle
lts__t_sectors_op_read.sum                                             |   527,391,757 |   383,664,309 |    -27.3% | sector
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         72.32 |         54.43 |    -24.7% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         54.83 |         41.36 |    -24.6% | %
lts__t_sectors.sum                                                     |   529,597,699 |   656,976,338 |     24.1% | sector
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         73.77 |         58.61 |    -20.6% | %
dram__bytes_read.sum                                                   |         715.3 |         826.0 |     15.5% | Mbyte
dram__sectors_read.sum                                                 |    22,352,608 |    25,812,472 |     15.5% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,680,966 |     3,077,865 |     14.8% | warp
