Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_mio_throttle.avg                             |         439.1 |       3,343.7 |    661.6% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,156.8 |      54,062.2 |     38.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,272,479 |    58,183,056 |     28.5% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     393,058.4 |     477,650.1 |     21.5% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,729,276 |    91,443,428 |     16.1% | 
smsp__warps_issue_stalled_wait.avg                                     |     1,126,122 |     1,280,575 |     13.7% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,166,841 |     1,300,237 |     11.4% | warp
smsp__cycles_active.avg                                                |     3,683,135 |     4,099,537 |     11.3% | cycle
smsp__warps_issue_stalled_sleeping.avg                                 |     144,844.0 |     161,165.5 |     11.3% | warp
dram__sectors_read.sum                                                 |    72,219,792 |    79,574,296 |     10.2% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     554,287.1 |     605,810.5 |      9.3% | warp
