Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,196.1 |      34,589.4 |     32.0% | warp
dram__sectors_read.sum                                                 |   144,592,520 |   101,718,856 |    -29.7% | sector
lts__t_sectors_op_read.sum                                             |   623,533,881 |   549,900,591 |    -11.8% | sector
lts__t_sectors.sum                                                     |   691,579,662 |   617,891,844 |    -10.7% | sector
smsp__inst_executed.sum                                                |    70,747,322 |    77,416,859 |      9.4% | inst
smsp__warps_issue_stalled_sleeping.avg                                 |      21,996.3 |      19,967.3 |     -9.2% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     282,103.8 |     261,243.6 |     -7.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,704,397 |    17,845,901 |      6.8% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,917,281 |    19,085,524 |      6.5% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,519.0 |       2,672.2 |      6.1% | warp
