Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      24,644.1 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,977.1 |     280,374.2 |    805.1% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,745.3 |         17.70 |    -99.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,823.7 |       6,588.9 |    -69.8% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,134.7 |     384,796.1 |     68.7% | warp
dram__sectors_read.sum                                                 |   133,772,704 |   220,848,824 |     65.1% | sector
launch__registers_per_thread                                           |         252.0 |         126.0 |    -50.0% | register/thread
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         41.67 |         59.34 |     42.4% | %
smsp__inst_executed.sum                                                |   163,088,846 |   101,942,345 |    -37.5% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,900,481 |    26,068,283 |    -31.2% | 
lts__t_sector_hit_rate.pct                                             |         57.34 |         42.97 |    -25.1% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,408,148 |    46,666,020 |    -22.7% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,725,690 |     2,244,428 |    -17.7% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     136,275.6 |     159,323.9 |     16.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,572.9 |       2,157.3 |    -16.2% | warp
lts__t_sectors_op_read.sum                                             |   620,017,779 |   683,409,361 |     10.2% | sector
lts__t_sectors.sum                                                     |   687,305,928 |   751,652,309 |      9.4% | sector
