Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         597.0 |    19,782,674 | 3313580.7% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,002.0 |    26,675,349 | 1332335.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     105,596.0 |    48,174,111 |  45521.2% | 
dram__sectors_write.sum                                                |     386,544.0 |    44,550,304 |  11425.3% | sector
lts__t_sectors_op_write.sum                                            |     665,075.0 |    67,512,593 |  10051.1% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |      13,839.6 |     178,920.0 |   1192.8% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,481.5 |       7,954.1 |    436.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         595.2 |       2,995.5 |    403.3% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       9,980.7 |      20,908.8 |    109.5% | warp
smsp__inst_executed.sum                                                |    51,584,564 |   106,176,526 |    105.8% | inst
dram__bytes_write.sum                                                  |         12.37 |          1.43 |    -88.4% | Mbyte
smsp__warps_issue_stalled_mio_throttle.avg                             |         41.87 |         17.74 |    -57.6% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         37.90 |         56.43 |     48.9% | %
smsp__warps_issue_stalled_wait.avg                                     |     291,086.8 |     401,330.0 |     37.9% | warp
lts__t_sectors.sum                                                     |   578,965,977 |   741,914,578 |     28.1% | sector
dram__sectors_read.sum                                                 |   154,674,824 |   195,639,320 |     26.5% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     220,329.7 |     272,067.9 |     23.5% | warp
launch__registers_per_thread                                           |         96.00 |         117.0 |     21.9% | register/thread
lts__t_sectors_op_read.sum                                             |   577,977,267 |   673,758,607 |     16.6% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,454,688 |     2,100,166 |    -14.4% | warp
