Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         598.0 |    15,650,299 | 2617006.9% | 
dram__sectors_write.sum                                                |     253,272.0 |    43,912,552 |  17238.1% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     106,023.0 |    16,864,322 |  15806.3% | 
lts__t_sectors_op_write.sum                                            |     667,972.0 |    67,505,821 |  10006.1% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         569.4 |       2,275.6 |    299.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,464.0 |       4,100.4 |    180.1% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      13,482.9 |      30,630.1 |    127.2% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      10,005.7 |      19,727.1 |     97.2% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         96.90 |         17.62 |    -81.8% | warp
launch__registers_per_thread                                           |         96.00 |         161.0 |     67.7% | register/thread
smsp__inst_executed.sum                                                |    51,416,133 |    74,349,568 |     44.6% | inst
smsp__warps_issue_stalled_barrier.avg                                  |     220,314.5 |     277,491.9 |     26.0% | warp
lts__t_sectors.sum                                                     |   493,380,011 |   617,893,047 |     25.2% | sector
dram__sectors_read.sum                                                 |   120,925,168 |    95,502,704 |    -21.0% | sector
smsp__warps_issue_stalled_wait.avg                                     |     291,322.7 |     349,218.0 |     19.9% | warp
lts__t_sectors_op_read.sum                                             |   492,395,382 |   549,899,004 |     11.7% | sector
