Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,008.0 |    25,470,444 | 1268348.4% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      44,302.8 |     186,373.9 |    320.7% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,211,797 |    48,090,993 |    179.4% | 
dram__sectors_read.sum                                                 |   110,062,512 |   184,591,184 |     67.7% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       5,552.7 |       8,445.2 |     52.1% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         35.87 |         53.67 |     49.6% | %
smsp__inst_executed.sum                                                |    83,518,183 |   116,197,797 |     39.1% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,036,362 |    21,598,921 |     34.7% | 
launch__registers_per_thread                                           |         158.0 |         117.0 |    -25.9% | register/thread
lts__t_sector_hit_rate.pct                                             |         60.15 |         49.86 |    -17.1% | %
smsp__warps_issue_stalled_wait.avg                                     |     407,338.5 |     460,357.5 |     13.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,304,844 |     2,016,891 |    -12.5% | warp
lts__t_sectors_op_read.sum                                             |   613,204,286 |   680,900,703 |     11.0% | sector
lts__t_sectors.sum                                                     |   681,229,826 |   749,021,694 |     10.0% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      17,599.7 |      16,010.1 |     -9.0% | warp
