Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         592.0 |    19,394,400 | 3275981.1% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,076.0 |    25,928,458 | 1248862.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      86,234.0 |    46,676,844 |  54028.1% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         806.2 |     157,870.4 |  19482.0% | warp
dram__sectors_write.sum                                                |     408,040.0 |    44,616,008 |  10834.2% | sector
lts__t_sectors_op_write.sum                                            |     669,954.0 |    67,505,249 |   9976.1% | sector
smsp__warps_issue_stalled_not_selected.avg                             |         664.2 |       6,681.0 |    905.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         382.4 |       2,226.5 |    482.3% | warp
smsp__inst_executed.sum                                                |    45,446,807 |   102,999,120 |    126.6% | inst
smsp__warps_issue_stalled_sleeping.avg                                 |      12,006.3 |      25,235.6 |    110.2% | warp
dram__bytes_write.sum                                                  |         13.06 |          1.43 |    -89.1% | Mbyte
smsp__warps_issue_stalled_wait.avg                                     |     269,876.7 |     383,179.7 |     42.0% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         43.12 |         59.70 |     38.5% | %
smsp__warps_issue_stalled_barrier.avg                                  |     224,263.3 |     280,855.8 |     25.2% | warp
dram__sectors_read.sum                                                 |   181,856,616 |   222,995,928 |     22.6% | sector
lts__t_sectors.sum                                                     |   628,013,336 |   762,930,633 |     21.5% | sector
launch__registers_per_thread                                           |         128.0 |         148.0 |     15.6% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,051 |     2,230,296 |    -11.0% | warp
lts__t_sectors_op_read.sum                                             |   626,962,845 |   694,789,492 |     10.8% | sector
smsp__cycles_active.avg                                                |     1,812,056 |     1,936,440 |      6.9% | cycle
