Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         592.0 |    17,027,065 | 2876093.4% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      86,234.0 |    18,168,930 |  20969.3% | 
dram__sectors_write.sum                                                |     408,040.0 |    44,544,800 |  10816.8% | sector
lts__t_sectors_op_write.sum                                            |     669,954.0 |    67,498,539 |   9975.1% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         806.2 |      26,160.0 |   3144.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         382.4 |       2,452.7 |    541.4% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         664.2 |       4,232.0 |    537.2% | warp
dram__bytes_write.sum                                                  |         13.06 |          1.43 |    -89.1% | Mbyte
smsp__warps_issue_stalled_sleeping.avg                                 |      12,006.3 |      22,408.5 |     86.6% | warp
smsp__inst_executed.sum                                                |    45,446,807 |    71,783,990 |     58.0% | inst
launch__registers_per_thread                                           |         128.0 |         187.0 |     46.1% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     224,263.3 |     282,520.6 |     26.0% | warp
smsp__warps_issue_stalled_wait.avg                                     |     269,876.7 |     338,463.1 |     25.4% | warp
dram__sectors_read.sum                                                 |   181,856,616 |   148,585,048 |    -18.3% | sector
lts__t_sectors.sum                                                     |   628,013,336 |   696,133,548 |     10.8% | sector
smsp__cycles_active.avg                                                |     1,812,056 |     1,905,859 |      5.2% | cycle
