Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         594.0 |    19,974,149 | 3362551.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,053.0 |    27,044,980 | 1317239.5% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      86,366.0 |    47,853,161 |  55307.4% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         943.6 |     169,164.8 |  17826.6% | warp
dram__sectors_write.sum                                                |     375,552.0 |    44,522,592 |  11755.2% | sector
lts__t_sectors_op_write.sum                                            |     666,014.0 |    67,511,359 |  10036.6% | sector
smsp__warps_issue_stalled_not_selected.avg                             |         618.2 |       7,299.5 |   1080.7% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         225.0 |       2,593.3 |   1052.4% | warp
smsp__inst_executed.sum                                                |    44,448,633 |   102,667,575 |    131.0% | inst
dram__bytes_write.sum                                                  |         12.02 |          1.42 |    -88.2% | Mbyte
smsp__warps_issue_stalled_sleeping.avg                                 |      11,611.7 |      20,921.8 |     80.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     270,200.9 |     382,913.9 |     41.7% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         39.06 |         54.91 |     40.6% | %
lts__t_sectors.sum                                                     |   559,001,878 |   742,077,930 |     32.8% | sector
launch__registers_per_thread                                           |         96.00 |         117.0 |     21.9% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     224,143.2 |     272,915.2 |     21.8% | warp
lts__t_sectors_op_read.sum                                             |   558,047,518 |   673,907,793 |     20.8% | sector
dram__sectors_read.sum                                                 |   159,192,040 |   190,723,712 |     19.8% | sector
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         61.72 |         73.20 |     18.6% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,858 |     2,153,691 |    -14.1% | warp
