Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,057.0 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      91,827.4 |     218,599.7 |    138.1% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,959.1 |     313,551.9 |    122.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,497,156 |         595.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     440,199.0 |       2,026.0 |    -99.5% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,912,706 |      98,388.0 |    -99.5% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,178.3 |         17.63 |    -99.2% | warp
dram__sectors_write.sum                                                |    43,756,560 |     356,264.0 |    -99.2% | sector
lts__t_sectors_op_write.sum                                            |    66,829,404 |     668,021.0 |    -99.0% | sector
smsp__warps_issue_stalled_not_selected.avg                             |      25,707.0 |       1,489.2 |    -94.2% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,322.3 |       7,264.8 |    -76.0% | warp
smsp__inst_executed.sum                                                |   141,729,533 |    52,355,077 |    -63.1% | inst
dram__sectors_read.sum                                                 |    89,204,288 |   144,795,176 |     62.3% | sector
launch__registers_per_thread                                           |         186.0 |         96.00 |    -48.4% | register/thread
lts__t_sectors.sum                                                     |   632,713,222 |   595,699,932 |     -5.8% | sector
smsp__cycles_active.avg                                                |     1,913,299 |     1,811,971 |     -5.3% | cycle
lts__t_sectors_op_read.sum                                             |   565,628,740 |   594,700,931 |      5.1% | sector
