
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
----------------------------------------------------------------------------------
cublas_fc1_gemm                                1.371   3194.10      0    12     0
cublas_fc2_gemm                                1.032   4245.04      0    12     0
cutlass_fc2_fused                              1.225   3575.14      1    16     0
cutlass_fc2_strip                              1.152   3803.71      1    16     0
fc1_checkered_p_fused                          2.314   1892.45      1   110     2
fc1_checkered_p_gemm                           1.615   2711.92      1   148     2
fc1_checkered_p_strip                          1.388   3155.46      0    80     0
fc1_ck11_p_fused                               2.166   2022.16      1   110     2
fc1_ck11_p_gemm                                1.664   2631.90      1   148     2
fc1_ck11_p_strip                               1.381   3171.44      0    80     0
fc1_ck2_p_fused                                2.307   1898.24      1   110     2
fc1_ck2_p_gemm                                 1.615   2712.05      1   148     2
fc1_ck2_p_strip                                1.388   3156.22      0    80     0
fc1_ck3_p_fused                                2.307   1898.89      1   110     2
fc1_ck3_p_gemm                                 1.616   2710.82      1   148     2
fc1_ck3_p_strip                                1.388   3156.56      0    80     0
fc1_ck4_p_fused                                2.293   1910.42      1   110     2
fc1_ck4_p_gemm                                 1.615   2711.28      1   148     2
fc1_ck4_p_strip                                1.387   3158.34      0    80     0
fc1_ck5_p_fused                                2.315   1892.29      1   110     2
fc1_ck5_p_gemm                                 1.614   2712.95      1   148     2
fc1_ck5_p_strip                                1.388   3155.97      0    80     0
fc1_ck6_p_fused                                2.167   2021.62      1   110     2
fc1_ck6_p_gemm                                 1.666   2629.54      1   148     2
fc1_ck6_p_strip                                1.381   3171.05      0    80     0
fc1_ck7_p_fused                                2.166   2022.16      1   110     2
fc1_ck7_p_gemm                                 1.666   2629.85      1   148     2
fc1_ck7_p_strip                                1.381   3171.50      0    80     0
fc1_ck8_p_fused                                2.161   2026.67      1   110     2
fc1_ck8_p_gemm                                 1.665   2629.91      1   148     2
fc1_ck8_p_strip                                1.381   3171.29      0    80     0
fc1_default_p_fused                            2.092   2093.23      1   105     2
fc1_default_p_gemm                             1.870   2342.51      1   152     2
fc1_default_p_strip                            1.378   3178.73      0    78     0
fc1_dg10_p_fused                               2.086   2099.89      1   110     2
fc1_dg10_p_gemm                                1.640   2671.22      1   148     2
fc1_dg10_p_strip                               1.363   3212.94      0    78     0
fc1_dg12_p_fused                               2.086   2099.40      1   110     2
fc1_dg12_p_gemm                                1.649   2655.41      1   148     2
fc1_dg12_p_strip                               1.374   3187.54      0    78     0
fc1_dg16_p_fused                               2.087   2098.67      1   110     2
fc1_dg16_p_gemm                                1.631   2685.25      1   148     2
fc1_dg16_p_strip                               1.362   3215.33      0    78     0
fc1_dg24_p_fused                               2.093   2092.48      1   110     2
fc1_dg24_p_gemm                                1.639   2671.85      1   148     2
fc1_dg24_p_strip                               1.369   3199.11      0    77     0
fc1_dg32_p_fused                               2.093   2092.32      1   110     2
fc1_dg32_p_gemm                                1.709   2562.51      1   148     2
fc1_dg32_p_strip                               1.363   3214.45      0    77     0
fc1_dg4_p_fused                                2.095   2090.94      1   110     2
fc1_dg4_p_gemm                                 1.661   2636.77      1   148     2
fc1_dg4_p_strip                                1.395   3138.92      0    78     0
fc1_dg6_p_fused                                2.091   2094.41      1   110     2
fc1_dg6_p_gemm                                 1.669   2624.73      1   148     2
fc1_dg6_p_strip                                1.366   3206.56      0    78     0
fc1_dgsnake_p_fused                            2.085   2100.25      1   110     2
fc1_dgsnake_p_gemm                             1.655   2647.12      1   148     2
fc1_dgsnake_p_strip                            1.381   3172.13      0    78     0
fc1_dgswizzle_p_fused                          2.096   2089.54      1   110     2
fc1_dgswizzle_p_gemm                           1.654   2647.70      1   148     2
fc1_dgswizzle_p_strip                          1.379   3176.32      0    78     0
fc1_hilbert_p_fused                            2.281   1920.08      1   110     2
fc1_hilbert_p_gemm                             1.614   2713.75      1   148     2
fc1_hilbert_p_strip                            1.379   3176.27      0    75     0
fc1_kstagger_p_fused                           2.043   2144.19      1   111     2
fc1_kstagger_p_gemm                            1.708   2564.36      1   158     2
fc1_kstagger_p_strip                           1.379   3175.50      0    86     0
fc1_ncycle_p_fused                             2.035   2152.60      1   110     2
fc1_ncycle_p_gemm                              2.034   2153.19      1   150     2
fc1_ncycle_p_strip                             1.338   3272.56      0    75     0
fc1_nflat_p_fused                              2.038   2149.18      1   110     2
fc1_nflat_p_gemm                               1.715   2553.49      1   150     2
fc1_nflat_p_strip                              1.342   3264.17      0    77     0
fc1_nlock_p_fused                              2.248   1948.00      1   111     2
fc1_nlock_p_gemm                               1.940   2257.83      1   149     2
fc1_nlock_p_strip                              1.510   2900.56      0    78     0
fc1_nsnake_p_fused                             2.035   2152.07      1   110     2
fc1_nsnake_p_gemm                              2.034   2153.05      1   148     2
fc1_nsnake_p_strip                             1.339   3270.27      0    75     0
fc1_rowmajor_p_fused                           2.033   2154.71      1   110     2
fc1_rowmajor_p_gemm                            1.890   2317.11      1   148     2
fc1_rowmajor_p_strip                           1.378   3178.50      0    75     0
fc1_zigzag_p_fused                             2.030   2157.73      1   110     2
fc1_zigzag_p_gemm                              1.893   2313.36      1   148     2
fc1_zigzag_p_strip                             1.380   3174.12      0    75     0
fc1_zorder_p_fused                             2.268   1931.02      1   110     2
fc1_zorder_p_gemm                              1.657   2643.19      1   148     2
fc1_zorder_p_strip                             1.378   3177.52      0    77     0
fc2_checkered_p_fused                          1.064   4115.65      1   117     2
fc2_checkered_p_gemm                           1.043   4197.48      1   158     2
