Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,125.1 |       2,983.7 |     40.4% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      81,924.0 |     107,496.9 |     31.2% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      20,471.3 |      14,128.0 |    -31.0% | warp
dram__sectors_read.sum                                                 |   221,734,848 |   167,713,904 |    -24.4% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       6,476.4 |       7,830.1 |     20.9% | warp
smsp__warps_issue_stalled_wait.avg                                     |     387,056.2 |     466,638.4 |     20.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,223,451 |    22,680,122 |     18.0% | 
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         58.63 |         48.51 |    -17.3% | %
smsp__warps_issue_stalled_short_scoreboard.avg                         |     164,420.2 |     189,174.2 |     15.1% | warp
smsp__inst_executed.sum                                                |   100,792,929 |   115,087,107 |     14.2% | inst
smsp__warps_issue_stalled_dispatch_stall.avg                           |       2,929.3 |       2,619.8 |    -10.6% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,133,398 |     1,935,492 |     -9.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    27,103,354 |    25,541,141 |     -5.8% | 
