Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      13,191.0 |      inf% | warp
dram__bytes_write.sum                                                  |          1.40 |         11.91 |    750.7% | Gbyte
smsp__warps_issue_stalled_barrier.avg                                  |      92,996.4 |     224,227.2 |    141.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,616,111 |         593.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    20,062,205 |      86,114.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     429,513.0 |       2,072.0 |    -99.5% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,176.8 |         15.82 |    -99.3% | warp
dram__sectors_write.sum                                                |    43,722,552 |     372,232.0 |    -99.1% | sector
lts__t_sectors_op_write.sum                                            |    66,828,925 |     668,093.0 |    -99.0% | sector
smsp__warps_issue_stalled_not_selected.avg                             |      25,896.5 |         581.7 |    -97.8% | warp
smsp__warps_issue_stalled_dispatch_stall.avg                           |      24,272.8 |         756.1 |    -96.9% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,496.0 |       1,421.8 |    -95.3% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,955.5 |     266,906.5 |     89.4% | warp
dram__sectors_read.sum                                                 |    89,210,328 |   164,137,448 |     84.0% | sector
smsp__inst_executed.sum                                                |   141,729,637 |    44,301,743 |    -68.7% | inst
smsp__warps_issue_stalled_branch_resolving.avg                         |      39,550.8 |      66,701.7 |     68.6% | warp
launch__registers_per_thread                                           |         186.0 |         80.00 |    -57.0% | register/thread
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         564.1 |         311.9 |    -44.7% | warp
lts__t_sectors_op_read.sum                                             |   570,524,763 |   606,306,830 |      6.3% | sector
