Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,356.5 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,616.8 |     273,746.3 |    794.1% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,812.6 |         17.68 |    -99.5% | warp
smsp__warps_issue_stalled_dispatch_stall.avg                           |      26,075.4 |       3,431.8 |    -86.8% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      46,108.8 |      81,594.1 |     77.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,912.1 |       6,634.7 |    -69.7% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,138.6 |     385,354.3 |     68.9% | warp
dram__sectors_read.sum                                                 |   133,763,048 |   218,393,176 |     63.3% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         40.32 |         57.89 |     43.6% | %
launch__registers_per_thread                                           |         252.0 |         146.0 |    -42.1% | register/thread
smsp__inst_executed.sum                                                |   163,087,888 |   101,813,161 |    -37.6% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,675,077 |    27,022,336 |    -28.3% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     134,491.6 |     165,851.5 |     23.3% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,724,890 |     2,126,491 |    -22.0% | warp
lts__t_sector_hit_rate.pct                                             |         57.11 |         45.59 |    -20.2% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,204,979 |    48,233,675 |    -19.9% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,587.8 |       2,218.9 |    -14.3% | warp
lts__t_sectors_op_read.sum                                             |   622,282,193 |   693,063,857 |     11.4% | sector
lts__t_sectors.sum                                                     |   689,538,901 |   761,257,132 |     10.4% | sector
