Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,490.9 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,616.8 |     273,604.9 |    793.6% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,812.6 |         17.72 |    -99.5% | warp
smsp__warps_issue_stalled_dispatch_stall.avg                           |      26,075.4 |       3,427.3 |    -86.9% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      46,108.8 |      81,961.8 |     77.8% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,912.1 |       6,610.2 |    -69.8% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,138.6 |     385,436.1 |     68.9% | warp
dram__sectors_read.sum                                                 |   133,763,048 |   218,417,688 |     63.3% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         40.32 |         57.92 |     43.7% | %
launch__registers_per_thread                                           |         252.0 |         146.0 |    -42.1% | register/thread
smsp__inst_executed.sum                                                |   163,087,888 |   101,818,939 |    -37.6% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,675,077 |    26,879,895 |    -28.7% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     134,491.6 |     164,893.9 |     22.6% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,724,890 |     2,127,810 |    -21.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,204,979 |    48,091,509 |    -20.1% | 
lts__t_sector_hit_rate.pct                                             |         57.11 |         45.65 |    -20.1% | %
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,587.8 |       2,199.2 |    -15.0% | warp
lts__t_sectors_op_read.sum                                             |   622,282,193 |   688,022,665 |     10.6% | sector
lts__t_sectors.sum                                                     |   689,538,901 |   756,241,152 |      9.7% | sector
