Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,719.1 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,616.8 |     270,068.0 |    782.1% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,812.6 |         17.78 |    -99.5% | warp
smsp__warps_issue_stalled_dispatch_stall.avg                           |      26,075.4 |       2,978.0 |    -88.6% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      46,108.8 |      80,902.1 |     75.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,138.6 |     393,060.6 |     72.3% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,912.1 |       6,799.0 |    -69.0% | warp
launch__registers_per_thread                                           |         252.0 |         118.0 |    -53.2% | register/thread
smsp__inst_executed.sum                                                |   163,087,888 |   102,746,642 |    -37.0% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     134,491.6 |     181,056.6 |     34.6% | warp
dram__sectors_read.sum                                                 |   133,763,048 |   174,156,048 |     30.2% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,724,890 |     2,080,032 |    -23.7% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,675,077 |    29,674,251 |    -21.2% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,204,979 |    50,820,366 |    -15.6% | 
