Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         602.0 |    19,694,849 | 3271469.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,007.0 |    29,674,251 | 1478437.7% | 
smsp__warps_issue_stalled_dispatch_stall.avg                           |          3.13 |       2,978.0 |  95043.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      83,876.0 |    50,820,366 |  60489.9% | 
dram__sectors_write.sum                                                |     223,424.0 |    44,254,112 |  19707.2% | sector
lts__t_sectors_op_write.sum                                            |     680,652.0 |    67,515,012 |   9819.2% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |       3,259.2 |     181,056.6 |   5455.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,166.3 |       6,799.0 |    483.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         695.5 |       2,546.9 |    266.2% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         21.63 |         50.21 |    132.1% | %
launch__registers_per_thread                                           |         53.00 |         118.0 |    122.6% | register/thread
smsp__inst_executed.sum                                                |    47,395,643 |   102,746,642 |    116.8% | inst
smsp__warps_issue_stalled_sleeping.avg                                 |       9,679.8 |      20,719.1 |    114.0% | warp
dram__sectors_read.sum                                                 |    92,233,456 |   174,156,048 |     88.8% | sector
smsp__warps_issue_stalled_wait.avg                                     |     275,032.2 |     393,060.6 |     42.9% | warp
lts__t_sectors.sum                                                     |   519,669,565 |   708,220,937 |     36.3% | sector
lts__t_sector_hit_rate.pct                                             |         70.72 |         53.18 |    -24.8% | %
lts__t_sectors_op_read.sum                                             |   518,541,455 |   639,885,077 |     23.4% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     223,309.3 |     270,068.0 |     20.9% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      67,056.0 |      80,902.1 |     20.6% | warp
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         60.60 |         71.33 |     17.7% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,494,502 |     2,080,032 |    -16.6% | warp
