Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__sectors_read.sum                                                 |   141,475,104 |   103,809,176 |    -26.6% | sector
smsp__warps_issue_stalled_dispatch_stall.avg                           |         999.8 |       1,206.0 |     20.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       3,904.6 |       4,524.6 |     15.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,288.2 |       2,562.4 |     12.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,524,790 |    14,556,306 |    -11.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,703,555 |    15,763,895 |    -11.0% | 
lts__t_sectors_op_read.sum                                             |   622,893,469 |   575,061,815 |     -7.7% | sector
lts__t_sectors.sum                                                     |   690,955,374 |   643,250,101 |     -6.9% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,445.5 |      28,077.5 |      6.2% | warp
