Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         594.0 |    19,918,347 | 3353157.1% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,007.0 |    26,684,750 | 1329484.0% | 
smsp__warps_issue_stalled_dispatch_stall.avg                           |          1.82 |       3,445.2 | 189197.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      96,756.0 |    48,026,709 |  49536.9% | 
dram__sectors_write.sum                                                |     388,488.0 |    44,533,632 |  11363.3% | sector
lts__t_sectors_op_write.sum                                            |     670,882.0 |    67,514,151 |   9963.5% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |      14,446.5 |     186,961.7 |   1194.2% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         576.7 |       3,119.5 |    440.9% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         15.84 |         73.98 |    367.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,732.9 |       7,790.9 |    349.6% | warp
smsp__inst_executed.sum                                                |    51,506,612 |   114,039,745 |    121.4% | inst
launch__registers_per_thread                                           |         56.00 |         120.0 |    114.3% | register/thread
dram__bytes_write.sum                                                  |         12.43 |          1.43 |    -88.5% | Mbyte
smsp__warps_issue_stalled_sleeping.avg                                 |      11,169.0 |      17,254.6 |     54.5% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         38.98 |         57.99 |     48.8% | %
smsp__warps_issue_stalled_wait.avg                                     |     294,059.9 |     433,646.9 |     47.5% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      76,784.3 |     101,769.7 |     32.5% | warp
lts__t_sectors.sum                                                     |   586,494,952 |   758,409,709 |     29.3% | sector
dram__sectors_read.sum                                                 |   165,971,496 |   214,518,888 |     29.3% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     219,586.2 |     268,582.6 |     22.3% | warp
lts__t_sectors_op_read.sum                                             |   585,415,265 |   690,152,555 |     17.9% | sector
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         61.57 |         72.28 |     17.4% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,444,136 |     2,037,312 |    -16.6% | warp
