Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,416.3 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,616.8 |     268,394.7 |    776.6% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,812.6 |         17.71 |    -99.5% | warp
smsp__warps_issue_stalled_dispatch_stall.avg                           |      26,075.4 |       2,703.6 |    -89.6% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      46,108.8 |      80,730.5 |     75.1% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,138.6 |     388,922.0 |     70.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,912.1 |       6,791.5 |    -69.0% | warp
launch__registers_per_thread                                           |         252.0 |         118.0 |    -53.2% | register/thread
smsp__inst_executed.sum                                                |   163,087,888 |   101,500,054 |    -37.8% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     134,491.6 |     180,139.5 |     33.9% | warp
dram__sectors_read.sum                                                 |   133,763,048 |   178,355,904 |     33.3% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         40.32 |         51.22 |     27.0% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,724,890 |     2,063,680 |    -24.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,675,077 |    29,490,837 |    -21.7% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,204,979 |    50,588,965 |    -16.0% | 
lts__t_sectors_op_read.sum                                             |   622,282,193 |   671,274,121 |      7.9% | sector
lts__t_sectors.sum                                                     |   689,538,901 |   739,432,311 |      7.2% | sector
