Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,460.7 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,616.8 |     268,283.0 |    776.3% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,812.6 |         17.77 |    -99.5% | warp
smsp__warps_issue_stalled_dispatch_stall.avg                           |      26,075.4 |       2,625.6 |    -89.9% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      46,108.8 |      80,602.8 |     74.8% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,138.6 |     393,740.2 |     72.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,912.1 |       6,757.9 |    -69.2% | warp
launch__registers_per_thread                                           |         252.0 |         118.0 |    -53.2% | register/thread
smsp__inst_executed.sum                                                |   163,087,888 |   102,109,580 |    -37.4% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     134,491.6 |     179,739.4 |     33.6% | warp
dram__sectors_read.sum                                                 |   133,763,048 |   172,175,368 |     28.7% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,724,890 |     2,060,309 |    -24.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,675,077 |    29,415,151 |    -21.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,204,979 |    50,404,660 |    -16.3% | 
lts__t_sectors_op_read.sum                                             |   622,282,193 |   667,632,913 |      7.3% | sector
lts__t_sectors.sum                                                     |   689,538,901 |   735,827,622 |      6.7% | sector
