Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      10,630.1 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,996.4 |     223,495.3 |    140.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,616,111 |         593.0 |   -100.0% | 
smsp__warps_issue_stalled_dispatch_stall.avg                           |      24,272.8 |          1.43 |   -100.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    20,062,205 |      85,042.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     429,513.0 |       2,041.0 |    -99.5% | 
dram__sectors_write.sum                                                |    43,722,552 |     265,552.0 |    -99.4% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,176.8 |         15.84 |    -99.3% | warp
lts__t_sectors_op_write.sum                                            |    66,828,925 |     682,186.0 |    -99.0% | sector
smsp__warps_issue_stalled_not_selected.avg                             |      25,896.5 |         717.1 |    -97.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,955.5 |     273,488.0 |     94.0% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,496.0 |       2,277.3 |    -92.5% | warp
launch__registers_per_thread                                           |         186.0 |         53.00 |    -71.5% | register/thread
smsp__warps_issue_stalled_branch_resolving.avg                         |      39,550.8 |      67,317.1 |     70.2% | warp
smsp__inst_executed.sum                                                |   141,729,637 |    45,477,066 |    -67.9% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         564.1 |         303.7 |    -46.2% | warp
dram__sectors_read.sum                                                 |    89,210,328 |   122,335,832 |     37.1% | sector
lts__t_sectors.sum                                                     |   637,596,705 |   554,313,105 |    -13.1% | sector
