Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         596.0 |    16,096,471 | 2700650.2% | 
smsp__warps_issue_stalled_dispatch_stall.avg                           |          2.30 |         670.4 |  29046.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      98,753.0 |    17,304,452 |  17423.0% | 
dram__sectors_write.sum                                                |     303,352.0 |    44,286,304 |  14499.0% | sector
lts__t_sectors_op_write.sum                                            |     675,583.0 |    67,509,241 |   9892.7% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         526.1 |       2,909.3 |    453.0% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |       8,090.2 |      44,656.1 |    452.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,406.2 |       5,280.1 |    275.5% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       9,161.5 |      20,100.8 |    119.4% | warp
launch__registers_per_thread                                           |         56.00 |         114.0 |    103.6% | register/thread
smsp__inst_executed.sum                                                |    51,304,358 |    82,274,417 |     60.4% | inst
smsp__warps_issue_stalled_wait.avg                                     |     310,731.8 |     404,578.6 |     30.2% | warp
smsp__warps_issue_stalled_branch_resolving.avg                         |      82,779.9 |     102,195.4 |     23.5% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     218,581.1 |     260,876.9 |     19.4% | warp
lts__t_sectors.sum                                                     |   593,048,897 |   685,755,116 |     15.6% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,433,004 |     2,306,499 |     -5.2% | warp
