Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_barrier.avg                                  |     281,317.1 |     740,012.6 |    163.1% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         39.33 |         18.65 |    -52.6% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         65.58 |         32.37 |    -50.6% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         89.61 |         48.68 |    -45.7% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         44.38 |         24.13 |    -45.6% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         88.76 |         48.26 |    -45.6% | %
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,316.2 |      32,857.7 |     24.9% | warp
dram__sectors_read.sum                                                 |   132,837,256 |   106,314,592 |    -20.0% | sector
lts__t_sectors_op_read.sum                                             |   620,611,539 |   529,857,405 |    -14.6% | sector
launch__block_size                                                     |         224.0 |         256.0 |     14.3% | 
lts__t_sectors.sum                                                     |   688,658,288 |   597,927,664 |    -13.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,011.0 |       2,227.0 |     10.7% | 
smsp__warps_issue_stalled_wait.avg                                     |     332,187.8 |     356,857.3 |      7.4% | warp
