n	k	n_stages	k_iters	n_tiles	tiles_per_cluster	kn_ratio	prefill	floor_ms	ms	tflops	eff	cublas_ms	cublas_cyc	dms	dpct	cb_g_tile	cb_g_stages	cb_g_cluster	cb_g_splitk	cublas_none_ms	cublas_none_cyc	dn_ms	dn_pct	cb_n_tile	cb_n_stages	cb_n_cluster	cb_n_splitk	valid	status
1024	512	3	4	4	196	0.5000	off	0.1989	0.712	1366.85	0.2794	0.8052	1487153	-0.0932	-11.5748					0.4074	752660	0.3046	74.7668					1	ok
1024	768	5	6	4	196	0.7500	off	0.2984	0.67	2178.81	0.4453	0.8125	1499685	-0.1425	-17.5385					0.4666	861746	0.2034	43.5919					1	ok
1024	1024	5	8	4	196	1.0000	off	0.3978	0.698	2788.47	0.5700	0.8295	1530725	-0.1315	-15.8529					0.5478	1011622	0.1502	27.4188					1	ok
1024	1536	5	12	4	196	1.5000	off	0.5968	0.896	3256.31	0.6660	0.8484	1565994	0.0476	5.6106					0.7334	1353992	0.1626	22.1707					1	ok
2048	512	3	4	8	392	0.2500	off	0.3978	1.414	1377.03	0.2814	1.5992	2950729	-0.1852	-11.5808					0.8084	1492364	0.6056	74.9134					1	ok
2048	768	5	6	8	392	0.3750	off	0.5968	1.33	2191.36	0.4487	1.6131	2976494	-0.2831	-17.5501					0.926	1709341	0.4040	43.6285					1	ok
2048	1024	5	8	8	392	0.5000	off	0.7957	1.386	2808.03	0.5741	1.6477	3040067	-0.2617	-15.8827					1.0647	1965384	0.3213	30.1775					1	ok
2048	1536	5	12	8	392	0.7500	off	1.1935	1.704	3426.33	0.7004	1.6803	3100791	0.0237	1.4105					1.3685	2525876	0.3355	24.5159					1	ok
3072	512	3	4	12	588	0.1667	off	0.5968	2.121	1376.35	0.2814	2.3943	4416190	-0.2733	-11.4146					1.2097	2232675	0.9113	75.3327					1	ok
3072	768	5	6	12	588	0.2500	off	0.8951	2.025	2162.64	0.4420	2.4129	4450829	-0.3879	-16.0761					1.3635	2516246	0.6615	48.5149					1	ok
3072	1024	5	8	12	588	0.3333	off	1.1935	2.081	2805.85	0.5735	2.4651	4547306	-0.3841	-15.5815					1.5997	2952001	0.4813	30.0869					1	ok
3072	1536	5	12	12	588	0.5000	off	1.7903	2.532	3459.47	0.7071	2.5115	4634048	0.0205	0.8162					2.0518	3786279	0.4802	23.4038					1	ok
4096	512	3	4	16	784	0.1250	off	0.7957	2.81	1385.03	0.2832	3.1909	5886126	-0.3809	-11.9371					1.6098	2970651	1.2002	74.5558					1	ok
4096	768	5	6	16	784	0.1875	off	1.1935	2.648	2204.0	0.4507	3.2137	5928236	-0.5657	-17.6028					1.8252	3367892	0.8228	45.0800					1	ok
4096	1024	5	8	16	784	0.2500	off	1.5914	2.768	2811.63	0.5749	3.2814	6053448	-0.5134	-15.6458					2.133	3935346	0.6350	29.7703					1	ok
4096	1536	5	12	16	784	0.3750	off	2.3870	3.284	3555.85	0.7269	3.3437	6169021	-0.0597	-1.7854					2.7707	5112575	0.5133	18.5260					1	ok
