
── by raw size ──
N    | K    | NS | K_it | K/N  | tile/cl | floor | ms     | eff  | cb_gelu | Δg       | Δg%     | cb_g algo | cb_none | Δn        | Δn%     | cb_n algo | v | status
-----+------+----+------+------+---------+-------+--------+------+---------+----------+---------+-----------+---------+-----------+---------+-----------+---+-------
1024 | 512  | 3  | 4    | 0.50 | 196     | 0.199 | 0.7120 | 0.28 | 0.8052  | -93.2us  | -11.57% | -         | 0.4074  | +304.6us  | +74.77% | -         | 1 | ok    
1024 | 768  | 5  | 6    | 0.75 | 196     | 0.298 | 0.6700 | 0.45 | 0.8125  | -142.5us | -17.54% | -         | 0.4666  | +203.4us  | +43.59% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00 | 196     | 0.398 | 0.6980 | 0.57 | 0.8295  | -131.5us | -15.85% | -         | 0.5478  | +150.2us  | +27.42% | -         | 1 | ok    
1024 | 1536 | 5  | 12   | 1.50 | 196     | 0.597 | 0.8960 | 0.67 | 0.8484  | +47.6us  | +5.61%  | -         | 0.7334  | +162.6us  | +22.17% | -         | 1 | ok    
2048 | 512  | 3  | 4    | 0.25 | 392     | 0.398 | 1.4140 | 0.28 | 1.5992  | -185.2us | -11.58% | -         | 0.8084  | +605.6us  | +74.91% | -         | 1 | ok    
2048 | 768  | 5  | 6    | 0.38 | 392     | 0.597 | 1.3300 | 0.45 | 1.6131  | -283.1us | -17.55% | -         | 0.9260  | +404.0us  | +43.63% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50 | 392     | 0.796 | 1.3860 | 0.57 | 1.6477  | -261.7us | -15.88% | -         | 1.0647  | +321.3us  | +30.18% | -         | 1 | ok    
2048 | 1536 | 5  | 12   | 0.75 | 392     | 1.194 | 1.7040 | 0.70 | 1.6803  | +23.7us  | +1.41%  | -         | 1.3685  | +335.5us  | +24.52% | -         | 1 | ok    
3072 | 512  | 3  | 4    | 0.17 | 588     | 0.597 | 2.1210 | 0.28 | 2.3943  | -273.3us | -11.41% | -         | 1.2097  | +911.3us  | +75.33% | -         | 1 | ok    
3072 | 768  | 5  | 6    | 0.25 | 588     | 0.895 | 2.0250 | 0.44 | 2.4129  | -387.9us | -16.08% | -         | 1.3635  | +661.5us  | +48.51% | -         | 1 | ok    
3072 | 1024 | 5  | 8    | 0.33 | 588     | 1.194 | 2.0810 | 0.57 | 2.4651  | -384.1us | -15.58% | -         | 1.5997  | +481.3us  | +30.09% | -         | 1 | ok    
3072 | 1536 | 5  | 12   | 0.50 | 588     | 1.790 | 2.5320 | 0.71 | 2.5115  | +20.5us  | +0.82%  | -         | 2.0518  | +480.2us  | +23.40% | -         | 1 | ok    
4096 | 512  | 3  | 4    | 0.12 | 784     | 0.796 | 2.8100 | 0.28 | 3.1909  | -380.9us | -11.94% | -         | 1.6098  | +1200.2us | +74.56% | -         | 1 | ok    
4096 | 768  | 5  | 6    | 0.19 | 784     | 1.194 | 2.6480 | 0.45 | 3.2137  | -565.7us | -17.60% | -         | 1.8252  | +822.8us  | +45.08% | -         | 1 | ok    
4096 | 1024 | 5  | 8    | 0.25 | 784     | 1.591 | 2.7680 | 0.57 | 3.2814  | -513.4us | -15.65% | -         | 2.1330  | +635.0us  | +29.77% | -         | 1 | ok    
4096 | 1536 | 5  | 12   | 0.38 | 784     | 2.387 | 3.2840 | 0.73 | 3.3437  | -59.7us  | -1.79%  | -         | 2.7707  | +513.3us  | +18.53% | -         | 1 | ok    

── by K/N ratio ──
N    | K    | NS | K_it | K/N  | tile/cl | floor | ms     | eff  | cb_gelu | Δg       | Δg%     | cb_g algo | cb_none | Δn        | Δn%     | cb_n algo | v | status
-----+------+----+------+------+---------+-------+--------+------+---------+----------+---------+-----------+---------+-----------+---------+-----------+---+-------
4096 | 512  | 3  | 4    | 0.12 | 784     | 0.796 | 2.8100 | 0.28 | 3.1909  | -380.9us | -11.94% | -         | 1.6098  | +1200.2us | +74.56% | -         | 1 | ok    
3072 | 512  | 3  | 4    | 0.17 | 588     | 0.597 | 2.1210 | 0.28 | 2.3943  | -273.3us | -11.41% | -         | 1.2097  | +911.3us  | +75.33% | -         | 1 | ok    
4096 | 768  | 5  | 6    | 0.19 | 784     | 1.194 | 2.6480 | 0.45 | 3.2137  | -565.7us | -17.60% | -         | 1.8252  | +822.8us  | +45.08% | -         | 1 | ok    
2048 | 512  | 3  | 4    | 0.25 | 392     | 0.398 | 1.4140 | 0.28 | 1.5992  | -185.2us | -11.58% | -         | 0.8084  | +605.6us  | +74.91% | -         | 1 | ok    
3072 | 768  | 5  | 6    | 0.25 | 588     | 0.895 | 2.0250 | 0.44 | 2.4129  | -387.9us | -16.08% | -         | 1.3635  | +661.5us  | +48.51% | -         | 1 | ok    
4096 | 1024 | 5  | 8    | 0.25 | 784     | 1.591 | 2.7680 | 0.57 | 3.2814  | -513.4us | -15.65% | -         | 2.1330  | +635.0us  | +29.77% | -         | 1 | ok    
3072 | 1024 | 5  | 8    | 0.33 | 588     | 1.194 | 2.0810 | 0.57 | 2.4651  | -384.1us | -15.58% | -         | 1.5997  | +481.3us  | +30.09% | -         | 1 | ok    
2048 | 768  | 5  | 6    | 0.38 | 392     | 0.597 | 1.3300 | 0.45 | 1.6131  | -283.1us | -17.55% | -         | 0.9260  | +404.0us  | +43.63% | -         | 1 | ok    
4096 | 1536 | 5  | 12   | 0.38 | 784     | 2.387 | 3.2840 | 0.73 | 3.3437  | -59.7us  | -1.79%  | -         | 2.7707  | +513.3us  | +18.53% | -         | 1 | ok    
1024 | 512  | 3  | 4    | 0.50 | 196     | 0.199 | 0.7120 | 0.28 | 0.8052  | -93.2us  | -11.57% | -         | 0.4074  | +304.6us  | +74.77% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50 | 392     | 0.796 | 1.3860 | 0.57 | 1.6477  | -261.7us | -15.88% | -         | 1.0647  | +321.3us  | +30.18% | -         | 1 | ok    
3072 | 1536 | 5  | 12   | 0.50 | 588     | 1.790 | 2.5320 | 0.71 | 2.5115  | +20.5us  | +0.82%  | -         | 2.0518  | +480.2us  | +23.40% | -         | 1 | ok    
1024 | 768  | 5  | 6    | 0.75 | 196     | 0.298 | 0.6700 | 0.45 | 0.8125  | -142.5us | -17.54% | -         | 0.4666  | +203.4us  | +43.59% | -         | 1 | ok    
2048 | 1536 | 5  | 12   | 0.75 | 392     | 1.194 | 1.7040 | 0.70 | 1.6803  | +23.7us  | +1.41%  | -         | 1.3685  | +335.5us  | +24.52% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00 | 196     | 0.398 | 0.6980 | 0.57 | 0.8295  | -131.5us | -15.85% | -         | 0.5478  | +150.2us  | +27.42% | -         | 1 | ok    
1024 | 1536 | 5  | 12   | 1.50 | 196     | 0.597 | 0.8960 | 0.67 | 0.8484  | +47.6us  | +5.61%  | -         | 0.7334  | +162.6us  | +22.17% | -         | 1 | ok    

── by ms ──
N    | K    | NS | K_it | K/N  | tile/cl | floor | ms     | eff  | cb_gelu | Δg       | Δg%     | cb_g algo | cb_none | Δn        | Δn%     | cb_n algo | v | status
-----+------+----+------+------+---------+-------+--------+------+---------+----------+---------+-----------+---------+-----------+---------+-----------+---+-------
1024 | 768  | 5  | 6    | 0.75 | 196     | 0.298 | 0.6700 | 0.45 | 0.8125  | -142.5us | -17.54% | -         | 0.4666  | +203.4us  | +43.59% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00 | 196     | 0.398 | 0.6980 | 0.57 | 0.8295  | -131.5us | -15.85% | -         | 0.5478  | +150.2us  | +27.42% | -         | 1 | ok    
1024 | 512  | 3  | 4    | 0.50 | 196     | 0.199 | 0.7120 | 0.28 | 0.8052  | -93.2us  | -11.57% | -         | 0.4074  | +304.6us  | +74.77% | -         | 1 | ok    
1024 | 1536 | 5  | 12   | 1.50 | 196     | 0.597 | 0.8960 | 0.67 | 0.8484  | +47.6us  | +5.61%  | -         | 0.7334  | +162.6us  | +22.17% | -         | 1 | ok    
2048 | 768  | 5  | 6    | 0.38 | 392     | 0.597 | 1.3300 | 0.45 | 1.6131  | -283.1us | -17.55% | -         | 0.9260  | +404.0us  | +43.63% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50 | 392     | 0.796 | 1.3860 | 0.57 | 1.6477  | -261.7us | -15.88% | -         | 1.0647  | +321.3us  | +30.18% | -         | 1 | ok    
2048 | 512  | 3  | 4    | 0.25 | 392     | 0.398 | 1.4140 | 0.28 | 1.5992  | -185.2us | -11.58% | -         | 0.8084  | +605.6us  | +74.91% | -         | 1 | ok    
2048 | 1536 | 5  | 12   | 0.75 | 392     | 1.194 | 1.7040 | 0.70 | 1.6803  | +23.7us  | +1.41%  | -         | 1.3685  | +335.5us  | +24.52% | -         | 1 | ok    
3072 | 768  | 5  | 6    | 0.25 | 588     | 0.895 | 2.0250 | 0.44 | 2.4129  | -387.9us | -16.08% | -         | 1.3635  | +661.5us  | +48.51% | -         | 1 | ok    
3072 | 1024 | 5  | 8    | 0.33 | 588     | 1.194 | 2.0810 | 0.57 | 2.4651  | -384.1us | -15.58% | -         | 1.5997  | +481.3us  | +30.09% | -         | 1 | ok    
3072 | 512  | 3  | 4    | 0.17 | 588     | 0.597 | 2.1210 | 0.28 | 2.3943  | -273.3us | -11.41% | -         | 1.2097  | +911.3us  | +75.33% | -         | 1 | ok    
3072 | 1536 | 5  | 12   | 0.50 | 588     | 1.790 | 2.5320 | 0.71 | 2.5115  | +20.5us  | +0.82%  | -         | 2.0518  | +480.2us  | +23.40% | -         | 1 | ok    
4096 | 768  | 5  | 6    | 0.19 | 784     | 1.194 | 2.6480 | 0.45 | 3.2137  | -565.7us | -17.60% | -         | 1.8252  | +822.8us  | +45.08% | -         | 1 | ok    
4096 | 1024 | 5  | 8    | 0.25 | 784     | 1.591 | 2.7680 | 0.57 | 3.2814  | -513.4us | -15.65% | -         | 2.1330  | +635.0us  | +29.77% | -         | 1 | ok    
4096 | 512  | 3  | 4    | 0.12 | 784     | 0.796 | 2.8100 | 0.28 | 3.1909  | -380.9us | -11.94% | -         | 1.6098  | +1200.2us | +74.56% | -         | 1 | ok    
4096 | 1536 | 5  | 12   | 0.38 | 784     | 2.387 | 3.2840 | 0.73 | 3.3437  | -59.7us  | -1.79%  | -         | 2.7707  | +513.3us  | +18.53% | -         | 1 | ok    

── by Δ% vs cuBLASLt rank-1 GELU+BIAS ──
N    | K    | NS | K_it | K/N  | tile/cl | floor | ms     | eff  | cb_gelu | Δg       | Δg%     | cb_g algo | cb_none | Δn        | Δn%     | cb_n algo | v | status
-----+------+----+------+------+---------+-------+--------+------+---------+----------+---------+-----------+---------+-----------+---------+-----------+---+-------
4096 | 768  | 5  | 6    | 0.19 | 784     | 1.194 | 2.6480 | 0.45 | 3.2137  | -565.7us | -17.60% | -         | 1.8252  | +822.8us  | +45.08% | -         | 1 | ok    
2048 | 768  | 5  | 6    | 0.38 | 392     | 0.597 | 1.3300 | 0.45 | 1.6131  | -283.1us | -17.55% | -         | 0.9260  | +404.0us  | +43.63% | -         | 1 | ok    
1024 | 768  | 5  | 6    | 0.75 | 196     | 0.298 | 0.6700 | 0.45 | 0.8125  | -142.5us | -17.54% | -         | 0.4666  | +203.4us  | +43.59% | -         | 1 | ok    
3072 | 768  | 5  | 6    | 0.25 | 588     | 0.895 | 2.0250 | 0.44 | 2.4129  | -387.9us | -16.08% | -         | 1.3635  | +661.5us  | +48.51% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50 | 392     | 0.796 | 1.3860 | 0.57 | 1.6477  | -261.7us | -15.88% | -         | 1.0647  | +321.3us  | +30.18% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00 | 196     | 0.398 | 0.6980 | 0.57 | 0.8295  | -131.5us | -15.85% | -         | 0.5478  | +150.2us  | +27.42% | -         | 1 | ok    
4096 | 1024 | 5  | 8    | 0.25 | 784     | 1.591 | 2.7680 | 0.57 | 3.2814  | -513.4us | -15.65% | -         | 2.1330  | +635.0us  | +29.77% | -         | 1 | ok    
3072 | 1024 | 5  | 8    | 0.33 | 588     | 1.194 | 2.0810 | 0.57 | 2.4651  | -384.1us | -15.58% | -         | 1.5997  | +481.3us  | +30.09% | -         | 1 | ok    
4096 | 512  | 3  | 4    | 0.12 | 784     | 0.796 | 2.8100 | 0.28 | 3.1909  | -380.9us | -11.94% | -         | 1.6098  | +1200.2us | +74.56% | -         | 1 | ok    
2048 | 512  | 3  | 4    | 0.25 | 392     | 0.398 | 1.4140 | 0.28 | 1.5992  | -185.2us | -11.58% | -         | 0.8084  | +605.6us  | +74.91% | -         | 1 | ok    
1024 | 512  | 3  | 4    | 0.50 | 196     | 0.199 | 0.7120 | 0.28 | 0.8052  | -93.2us  | -11.57% | -         | 0.4074  | +304.6us  | +74.77% | -         | 1 | ok    
