
── by raw size ──
N    | K    | NS | K_it | K/N  | tile/cl | floor | ms     | eff  | cb_gelu | Δg       | Δg%     | cb_g algo              | cb_none | Δn        | Δn%     | cb_n algo              | v | status
-----+------+----+------+------+---------+-------+--------+------+---------+----------+---------+------------------------+---------+-----------+---------+------------------------+---+-------
1024 | 512  | 3  | 4    | 0.50 | 196     | 0.199 | 0.7120 | 0.28 | 0.8049  | -92.9us  | -11.54% | 128x256/st36/2x2x1/sk1 | 0.4079  | +304.1us  | +74.55% | 128x256/st36/2x1x1/sk1 | 1 | ok    
1024 | 768  | 5  | 6    | 0.75 | 196     | 0.298 | 0.6700 | 0.45 | 0.8130  | -143.0us | -17.59% | 128x256/st36/2x2x1/sk1 | 0.4665  | +203.5us  | +43.62% | 128x256/st36/2x1x1/sk1 | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00 | 196     | 0.398 | 0.6970 | 0.57 | 0.8298  | -132.8us | -16.00% | 128x256/st36/2x2x1/sk1 | 0.5476  | +149.4us  | +27.28% | 128x256/st36/2x1x1/sk1 | 1 | ok    
1024 | 1536 | 5  | 12   | 1.50 | 196     | 0.597 | 0.8960 | 0.67 | 0.8481  | +47.9us  | +5.65%  | 128x256/st36/2x2x1/sk1 | 0.7335  | +162.5us  | +22.15% | 128x256/st36/2x1x1/sk1 | 1 | ok    
2048 | 512  | 3  | 4    | 0.25 | 392     | 0.398 | 1.4140 | 0.28 | 1.5991  | -185.1us | -11.58% | 128x256/st36/2x2x1/sk1 | 0.8083  | +605.7us  | +74.94% | 128x256/st36/2x1x1/sk1 | 1 | ok    
2048 | 768  | 5  | 6    | 0.38 | 392     | 0.597 | 1.3300 | 0.45 | 1.6126  | -282.6us | -17.52% | 128x256/st36/2x2x1/sk1 | 0.9267  | +403.3us  | +43.52% | 128x256/st36/2x1x1/sk1 | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50 | 392     | 0.796 | 1.3860 | 0.57 | 1.6474  | -261.4us | -15.87% | 128x256/st36/2x2x1/sk1 | 1.0647  | +321.3us  | +30.18% | 128x256/st36/2x1x1/sk1 | 1 | ok    
2048 | 1536 | 5  | 12   | 0.75 | 392     | 1.194 | 1.7050 | 0.70 | 1.6805  | +24.5us  | +1.46%  | 128x256/st36/2x2x1/sk1 | 1.3685  | +336.5us  | +24.59% | 128x256/st36/2x1x1/sk1 | 1 | ok    
3072 | 512  | 3  | 4    | 0.17 | 588     | 0.597 | 2.1210 | 0.28 | 2.3943  | -273.3us | -11.41% | 128x256/st36/4x4x1/sk1 | 1.2097  | +911.3us  | +75.33% | 128x256/st36/2x1x1/sk1 | 1 | ok    
3072 | 768  | 5  | 6    | 0.25 | 588     | 0.895 | 2.0260 | 0.44 | 2.4135  | -387.5us | -16.06% | 128x256/st36/2x2x1/sk1 | 1.3642  | +661.8us  | +48.51% | 128x256/st36/2x1x1/sk1 | 1 | ok    
3072 | 1024 | 5  | 8    | 0.33 | 588     | 1.194 | 2.0810 | 0.57 | 2.4649  | -383.9us | -15.57% | 128x256/st36/2x2x1/sk1 | 1.5997  | +481.3us  | +30.09% | 128x256/st36/2x1x1/sk1 | 1 | ok    
3072 | 1536 | 5  | 12   | 0.50 | 588     | 1.790 | 2.5310 | 0.71 | 2.5118  | +19.2us  | +0.76%  | 128x256/st36/2x2x1/sk1 | 2.0520  | +479.0us  | +23.34% | 128x256/st36/2x1x1/sk1 | 1 | ok    
4096 | 512  | 3  | 4    | 0.12 | 784     | 0.796 | 2.8080 | 0.28 | 3.1902  | -382.2us | -11.98% | 128x256/st36/2x2x1/sk1 | 1.6100  | +1198.0us | +74.41% | 128x256/st36/2x1x1/sk1 | 1 | ok    
4096 | 768  | 5  | 6    | 0.19 | 784     | 1.194 | 2.6490 | 0.45 | 3.2137  | -564.7us | -17.57% | 128x256/st36/2x2x1/sk1 | 1.8253  | +823.7us  | +45.13% | 128x256/st36/2x1x1/sk1 | 1 | ok    
4096 | 1024 | 5  | 8    | 0.25 | 784     | 1.591 | 2.7690 | 0.57 | 3.2821  | -513.1us | -15.63% | 128x256/st36/2x2x1/sk1 | 2.1331  | +635.9us  | +29.81% | 128x256/st36/2x1x1/sk1 | 1 | ok    
4096 | 1536 | 5  | 12   | 0.38 | 784     | 2.387 | 3.2840 | 0.73 | 3.3433  | -59.3us  | -1.77%  | 128x256/st36/2x4x1/sk1 | 2.7720  | +512.0us  | +18.47% | 128x256/st36/2x1x1/sk1 | 1 | ok    

── by K/N ratio ──
N    | K    | NS | K_it | K/N  | tile/cl | floor | ms     | eff  | cb_gelu | Δg       | Δg%     | cb_g algo              | cb_none | Δn        | Δn%     | cb_n algo              | v | status
-----+------+----+------+------+---------+-------+--------+------+---------+----------+---------+------------------------+---------+-----------+---------+------------------------+---+-------
4096 | 512  | 3  | 4    | 0.12 | 784     | 0.796 | 2.8080 | 0.28 | 3.1902  | -382.2us | -11.98% | 128x256/st36/2x2x1/sk1 | 1.6100  | +1198.0us | +74.41% | 128x256/st36/2x1x1/sk1 | 1 | ok    
