
── by raw size ──
N    | K    | NS | K_it | K/N   | tile/cl | floor | ms     | cyc      | eff  | cb_bias  | Δb      | Δb%     | cb_b algo | cb_none  | Δn      | Δn%     | cb_n algo | v | status
-----+------+----+------+-------+---------+-------+--------+----------+------+----------+---------+---------+-----------+----------+---------+---------+-----------+---+-------
256  | 1024 | 5  | 8    | 4.00  | 49      | 0.099 | 0.2218 | 397.4k   | 0.45 | 372.4k   | +25.0k  | +6.71%  | -         | 378.6k   | +18.8k  | +4.96%  | -         | 1 | ok    
256  | 2048 | 6  | 16   | 8.00  | 49      | 0.199 | 0.3521 | 634.8k   | 0.56 | 666.5k   | -31.7k  | -4.75%  | -         | 669.8k   | -35.0k  | -5.22%  | -         | 1 | ok    
256  | 4096 | 6  | 32   | 16.00 | 49      | 0.398 | 0.6333 | 1152.8k  | 0.63 | 1181.0k  | -28.1k  | -2.38%  | -         | 1179.0k  | -26.2k  | -2.22%  | -         | 1 | ok    
256  | 8192 | 6  | 64   | 32.00 | 49      | 0.796 | 1.1786 | 2149.4k  | 0.68 | 2417.8k  | -268.4k | -11.10% | -         | 2414.2k  | -264.8k | -10.97% | -         | 1 | ok    
512  | 1024 | 5  | 8    | 2.00  | 98      | 0.199 | 0.3630 | 662.4k   | 0.55 | 618.0k   | +44.4k  | +7.18%  | -         | 582.8k   | +79.6k  | +13.66% | -         | 1 | ok    
512  | 2048 | 6  | 16   | 4.00  | 98      | 0.398 | 0.5211 | 952.1k   | 0.76 | 959.1k   | -6.9k   | -0.72%  | -         | 949.5k   | +2.7k   | +0.28%  | -         | 1 | ok    
512  | 4096 | 6  | 32   | 8.00  | 98      | 0.796 | 0.9695 | 1780.1k  | 0.82 | 1744.0k  | +36.1k  | +2.07%  | -         | 1734.8k  | +45.4k  | +2.61%  | -         | 1 | ok    
512  | 8192 | 6  | 64   | 16.00 | 98      | 1.591 | 1.8388 | 3383.8k  | 0.87 | 3573.1k  | -189.3k | -5.30%  | -         | 3543.9k  | -160.1k | -4.52%  | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00  | 196     | 0.398 | 0.7280 | 1333.7k  | 0.55 | 1089.9k  | +243.9k | +22.38% | -         | 1010.9k  | +322.8k | +31.93% | -         | 1 | ok    
1024 | 2048 | 6  | 16   | 2.00  | 196     | 0.796 | 0.9217 | 1691.2k  | 0.86 | 1728.9k  | -37.8k  | -2.18%  | -         | 1718.7k  | -27.5k  | -1.60%  | -         | 1 | ok    
1024 | 4096 | 6  | 32   | 4.00  | 196     | 1.591 | 1.8544 | 3410.4k  | 0.86 | 3280.5k  | +130.0k | +3.96%  | -         | 3277.1k  | +133.4k | +4.07%  | -         | 1 | ok    
1024 | 8192 | 6  | 64   | 8.00  | 196     | 3.183 | 3.5347 | 6510.2k  | 0.90 | 6594.8k  | -84.6k  | -1.28%  | -         | 6582.4k  | -72.2k  | -1.10%  | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50  | 392     | 0.796 | 1.4651 | 2692.1k  | 0.54 | 2093.6k  | +598.5k | +28.59% | -         | 1965.6k  | +726.5k | +36.96% | -         | 1 | ok    
2048 | 2048 | 5  | 16   | 1.00  | 392     | 1.591 | 2.0418 | 3756.3k  | 0.78 | 3303.1k  | +453.1k | +13.72% | -         | 3295.7k  | +460.5k | +13.97% | -         | 1 | ok    
2048 | 4096 | 5  | 32   | 2.00  | 392     | 3.183 | 3.6582 | 6739.7k  | 0.87 | 6484.0k  | +255.8k | +3.94%  | -         | 6487.1k  | +252.7k | +3.89%  | -         | 1 | ok    
2048 | 8192 | 5  | 64   | 4.00  | 392     | 6.365 | 7.0325 | 12951.5k | 0.91 | 12969.6k | -18.1k  | -0.14%  | -         | 13007.8k | -56.3k  | -0.43%  | -         | 1 | ok    

── by K/N ratio ──
N    | K    | NS | K_it | K/N   | tile/cl | floor | ms     | cyc      | eff  | cb_bias  | Δb      | Δb%     | cb_b algo | cb_none  | Δn      | Δn%     | cb_n algo | v | status
-----+------+----+------+-------+---------+-------+--------+----------+------+----------+---------+---------+-----------+----------+---------+---------+-----------+---+-------
2048 | 1024 | 5  | 8    | 0.50  | 392     | 0.796 | 1.4651 | 2692.1k  | 0.54 | 2093.6k  | +598.5k | +28.59% | -         | 1965.6k  | +726.5k | +36.96% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00  | 196     | 0.398 | 0.7280 | 1333.7k  | 0.55 | 1089.9k  | +243.9k | +22.38% | -         | 1010.9k  | +322.8k | +31.93% | -         | 1 | ok    
2048 | 2048 | 5  | 16   | 1.00  | 392     | 1.591 | 2.0418 | 3756.3k  | 0.78 | 3303.1k  | +453.1k | +13.72% | -         | 3295.7k  | +460.5k | +13.97% | -         | 1 | ok    
512  | 1024 | 5  | 8    | 2.00  | 98      | 0.199 | 0.3630 | 662.4k   | 0.55 | 618.0k   | +44.4k  | +7.18%  | -         | 582.8k   | +79.6k  | +13.66% | -         | 1 | ok    
1024 | 2048 | 6  | 16   | 2.00  | 196     | 0.796 | 0.9217 | 1691.2k  | 0.86 | 1728.9k  | -37.8k  | -2.18%  | -         | 1718.7k  | -27.5k  | -1.60%  | -         | 1 | ok    
2048 | 4096 | 5  | 32   | 2.00  | 392     | 3.183 | 3.6582 | 6739.7k  | 0.87 | 6484.0k  | +255.8k | +3.94%  | -         | 6487.1k  | +252.7k | +3.89%  | -         | 1 | ok    
256  | 1024 | 5  | 8    | 4.00  | 49      | 0.099 | 0.2218 | 397.4k   | 0.45 | 372.4k   | +25.0k  | +6.71%  | -         | 378.6k   | +18.8k  | +4.96%  | -         | 1 | ok    
512  | 2048 | 6  | 16   | 4.00  | 98      | 0.398 | 0.5211 | 952.1k   | 0.76 | 959.1k   | -6.9k   | -0.72%  | -         | 949.5k   | +2.7k   | +0.28%  | -         | 1 | ok    
1024 | 4096 | 6  | 32   | 4.00  | 196     | 1.591 | 1.8544 | 3410.4k  | 0.86 | 3280.5k  | +130.0k | +3.96%  | -         | 3277.1k  | +133.4k | +4.07%  | -         | 1 | ok    
2048 | 8192 | 5  | 64   | 4.00  | 392     | 6.365 | 7.0325 | 12951.5k | 0.91 | 12969.6k | -18.1k  | -0.14%  | -         | 13007.8k | -56.3k  | -0.43%  | -         | 1 | ok    
256  | 2048 | 6  | 16   | 8.00  | 49      | 0.199 | 0.3521 | 634.8k   | 0.56 | 666.5k   | -31.7k  | -4.75%  | -         | 669.8k   | -35.0k  | -5.22%  | -         | 1 | ok    
512  | 4096 | 6  | 32   | 8.00  | 98      | 0.796 | 0.9695 | 1780.1k  | 0.82 | 1744.0k  | +36.1k  | +2.07%  | -         | 1734.8k  | +45.4k  | +2.61%  | -         | 1 | ok    
1024 | 8192 | 6  | 64   | 8.00  | 196     | 3.183 | 3.5347 | 6510.2k  | 0.90 | 6594.8k  | -84.6k  | -1.28%  | -         | 6582.4k  | -72.2k  | -1.10%  | -         | 1 | ok    
256  | 4096 | 6  | 32   | 16.00 | 49      | 0.398 | 0.6333 | 1152.8k  | 0.63 | 1181.0k  | -28.1k  | -2.38%  | -         | 1179.0k  | -26.2k  | -2.22%  | -         | 1 | ok    
512  | 8192 | 6  | 64   | 16.00 | 98      | 1.591 | 1.8388 | 3383.8k  | 0.87 | 3573.1k  | -189.3k | -5.30%  | -         | 3543.9k  | -160.1k | -4.52%  | -         | 1 | ok    
256  | 8192 | 6  | 64   | 32.00 | 49      | 0.796 | 1.1786 | 2149.4k  | 0.68 | 2417.8k  | -268.4k | -11.10% | -         | 2414.2k  | -264.8k | -10.97% | -         | 1 | ok    

── by cyc ──
N    | K    | NS | K_it | K/N   | tile/cl | floor | ms     | cyc      | eff  | cb_bias  | Δb      | Δb%     | cb_b algo | cb_none  | Δn      | Δn%     | cb_n algo | v | status
-----+------+----+------+-------+---------+-------+--------+----------+------+----------+---------+---------+-----------+----------+---------+---------+-----------+---+-------
256  | 1024 | 5  | 8    | 4.00  | 49      | 0.099 | 0.2218 | 397.4k   | 0.45 | 372.4k   | +25.0k  | +6.71%  | -         | 378.6k   | +18.8k  | +4.96%  | -         | 1 | ok    
256  | 2048 | 6  | 16   | 8.00  | 49      | 0.199 | 0.3521 | 634.8k   | 0.56 | 666.5k   | -31.7k  | -4.75%  | -         | 669.8k   | -35.0k  | -5.22%  | -         | 1 | ok    
512  | 1024 | 5  | 8    | 2.00  | 98      | 0.199 | 0.3630 | 662.4k   | 0.55 | 618.0k   | +44.4k  | +7.18%  | -         | 582.8k   | +79.6k  | +13.66% | -         | 1 | ok    
512  | 2048 | 6  | 16   | 4.00  | 98      | 0.398 | 0.5211 | 952.1k   | 0.76 | 959.1k   | -6.9k   | -0.72%  | -         | 949.5k   | +2.7k   | +0.28%  | -         | 1 | ok    
256  | 4096 | 6  | 32   | 16.00 | 49      | 0.398 | 0.6333 | 1152.8k  | 0.63 | 1181.0k  | -28.1k  | -2.38%  | -         | 1179.0k  | -26.2k  | -2.22%  | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00  | 196     | 0.398 | 0.7280 | 1333.7k  | 0.55 | 1089.9k  | +243.9k | +22.38% | -         | 1010.9k  | +322.8k | +31.93% | -         | 1 | ok    
1024 | 2048 | 6  | 16   | 2.00  | 196     | 0.796 | 0.9217 | 1691.2k  | 0.86 | 1728.9k  | -37.8k  | -2.18%  | -         | 1718.7k  | -27.5k  | -1.60%  | -         | 1 | ok    
512  | 4096 | 6  | 32   | 8.00  | 98      | 0.796 | 0.9695 | 1780.1k  | 0.82 | 1744.0k  | +36.1k  | +2.07%  | -         | 1734.8k  | +45.4k  | +2.61%  | -         | 1 | ok    
256  | 8192 | 6  | 64   | 32.00 | 49      | 0.796 | 1.1786 | 2149.4k  | 0.68 | 2417.8k  | -268.4k | -11.10% | -         | 2414.2k  | -264.8k | -10.97% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50  | 392     | 0.796 | 1.4651 | 2692.1k  | 0.54 | 2093.6k  | +598.5k | +28.59% | -         | 1965.6k  | +726.5k | +36.96% | -         | 1 | ok    
512  | 8192 | 6  | 64   | 16.00 | 98      | 1.591 | 1.8388 | 3383.8k  | 0.87 | 3573.1k  | -189.3k | -5.30%  | -         | 3543.9k  | -160.1k | -4.52%  | -         | 1 | ok    
1024 | 4096 | 6  | 32   | 4.00  | 196     | 1.591 | 1.8544 | 3410.4k  | 0.86 | 3280.5k  | +130.0k | +3.96%  | -         | 3277.1k  | +133.4k | +4.07%  | -         | 1 | ok    
2048 | 2048 | 5  | 16   | 1.00  | 392     | 1.591 | 2.0418 | 3756.3k  | 0.78 | 3303.1k  | +453.1k | +13.72% | -         | 3295.7k  | +460.5k | +13.97% | -         | 1 | ok    
1024 | 8192 | 6  | 64   | 8.00  | 196     | 3.183 | 3.5347 | 6510.2k  | 0.90 | 6594.8k  | -84.6k  | -1.28%  | -         | 6582.4k  | -72.2k  | -1.10%  | -         | 1 | ok    
2048 | 4096 | 5  | 32   | 2.00  | 392     | 3.183 | 3.6582 | 6739.7k  | 0.87 | 6484.0k  | +255.8k | +3.94%  | -         | 6487.1k  | +252.7k | +3.89%  | -         | 1 | ok    
2048 | 8192 | 5  | 64   | 4.00  | 392     | 6.365 | 7.0325 | 12951.5k | 0.91 | 12969.6k | -18.1k  | -0.14%  | -         | 13007.8k | -56.3k  | -0.43%  | -         | 1 | ok    

── by Δ% vs cuBLASLt rank-1 BIAS ──
N    | K    | NS | K_it | K/N   | tile/cl | floor | ms     | cyc      | eff  | cb_bias  | Δb      | Δb%     | cb_b algo | cb_none  | Δn      | Δn%     | cb_n algo | v | status
-----+------+----+------+-------+---------+-------+--------+----------+------+----------+---------+---------+-----------+----------+---------+---------+-----------+---+-------
256  | 8192 | 6  | 64   | 32.00 | 49      | 0.796 | 1.1786 | 2149.4k  | 0.68 | 2417.8k  | -268.4k | -11.10% | -         | 2414.2k  | -264.8k | -10.97% | -         | 1 | ok    
512  | 8192 | 6  | 64   | 16.00 | 98      | 1.591 | 1.8388 | 3383.8k  | 0.87 | 3573.1k  | -189.3k | -5.30%  | -         | 3543.9k  | -160.1k | -4.52%  | -         | 1 | ok    
256  | 2048 | 6  | 16   | 8.00  | 49      | 0.199 | 0.3521 | 634.8k   | 0.56 | 666.5k   | -31.7k  | -4.75%  | -         | 669.8k   | -35.0k  | -5.22%  | -         | 1 | ok    
256  | 4096 | 6  | 32   | 16.00 | 49      | 0.398 | 0.6333 | 1152.8k  | 0.63 | 1181.0k  | -28.1k  | -2.38%  | -         | 1179.0k  | -26.2k  | -2.22%  | -         | 1 | ok    
1024 | 2048 | 6  | 16   | 2.00  | 196     | 0.796 | 0.9217 | 1691.2k  | 0.86 | 1728.9k  | -37.8k  | -2.18%  | -         | 1718.7k  | -27.5k  | -1.60%  | -         | 1 | ok    
1024 | 8192 | 6  | 64   | 8.00  | 196     | 3.183 | 3.5347 | 6510.2k  | 0.90 | 6594.8k  | -84.6k  | -1.28%  | -         | 6582.4k  | -72.2k  | -1.10%  | -         | 1 | ok    
512  | 2048 | 6  | 16   | 4.00  | 98      | 0.398 | 0.5211 | 952.1k   | 0.76 | 959.1k   | -6.9k   | -0.72%  | -         | 949.5k   | +2.7k   | +0.28%  | -         | 1 | ok    
2048 | 8192 | 5  | 64   | 4.00  | 392     | 6.365 | 7.0325 | 12951.5k | 0.91 | 12969.6k | -18.1k  | -0.14%  | -         | 13007.8k | -56.3k  | -0.43%  | -         | 1 | ok    
512  | 4096 | 6  | 32   | 8.00  | 98      | 0.796 | 0.9695 | 1780.1k  | 0.82 | 1744.0k  | +36.1k  | +2.07%  | -         | 1734.8k  | +45.4k  | +2.61%  | -         | 1 | ok    
2048 | 4096 | 5  | 32   | 2.00  | 392     | 3.183 | 3.6582 | 6739.7k  | 0.87 | 6484.0k  | +255.8k | +3.94%  | -         | 6487.1k  | +252.7k | +3.89%  | -         | 1 | ok    
1024 | 4096 | 6  | 32   | 4.00  | 196     | 1.591 | 1.8544 | 3410.4k  | 0.86 | 3280.5k  | +130.0k | +3.96%  | -         | 3277.1k  | +133.4k | +4.07%  | -         | 1 | ok    
256  | 1024 | 5  | 8    | 4.00  | 49      | 0.099 | 0.2218 | 397.4k   | 0.45 | 372.4k   | +25.0k  | +6.71%  | -         | 378.6k   | +18.8k  | +4.96%  | -         | 1 | ok    
512  | 1024 | 5  | 8    | 2.00  | 98      | 0.199 | 0.3630 | 662.4k   | 0.55 | 618.0k   | +44.4k  | +7.18%  | -         | 582.8k   | +79.6k  | +13.66% | -         | 1 | ok    
2048 | 2048 | 5  | 16   | 1.00  | 392     | 1.591 | 2.0418 | 3756.3k  | 0.78 | 3303.1k  | +453.1k | +13.72% | -         | 3295.7k  | +460.5k | +13.97% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00  | 196     | 0.398 | 0.7280 | 1333.7k  | 0.55 | 1089.9k  | +243.9k | +22.38% | -         | 1010.9k  | +322.8k | +31.93% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50  | 392     | 0.796 | 1.4651 | 2692.1k  | 0.54 | 2093.6k  | +598.5k | +28.59% | -         | 1965.6k  | +726.5k | +36.96% | -         | 1 | ok    

── by Δ% vs cuBLASLt rank-1 noBIAS ──
N    | K    | NS | K_it | K/N   | tile/cl | floor | ms     | cyc      | eff  | cb_bias  | Δb      | Δb%     | cb_b algo | cb_none  | Δn      | Δn%     | cb_n algo | v | status
-----+------+----+------+-------+---------+-------+--------+----------+------+----------+---------+---------+-----------+----------+---------+---------+-----------+---+-------
256  | 8192 | 6  | 64   | 32.00 | 49      | 0.796 | 1.1786 | 2149.4k  | 0.68 | 2417.8k  | -268.4k | -11.10% | -         | 2414.2k  | -264.8k | -10.97% | -         | 1 | ok    
256  | 2048 | 6  | 16   | 8.00  | 49      | 0.199 | 0.3521 | 634.8k   | 0.56 | 666.5k   | -31.7k  | -4.75%  | -         | 669.8k   | -35.0k  | -5.22%  | -         | 1 | ok    
512  | 8192 | 6  | 64   | 16.00 | 98      | 1.591 | 1.8388 | 3383.8k  | 0.87 | 3573.1k  | -189.3k | -5.30%  | -         | 3543.9k  | -160.1k | -4.52%  | -         | 1 | ok    
256  | 4096 | 6  | 32   | 16.00 | 49      | 0.398 | 0.6333 | 1152.8k  | 0.63 | 1181.0k  | -28.1k  | -2.38%  | -         | 1179.0k  | -26.2k  | -2.22%  | -         | 1 | ok    
1024 | 2048 | 6  | 16   | 2.00  | 196     | 0.796 | 0.9217 | 1691.2k  | 0.86 | 1728.9k  | -37.8k  | -2.18%  | -         | 1718.7k  | -27.5k  | -1.60%  | -         | 1 | ok    
1024 | 8192 | 6  | 64   | 8.00  | 196     | 3.183 | 3.5347 | 6510.2k  | 0.90 | 6594.8k  | -84.6k  | -1.28%  | -         | 6582.4k  | -72.2k  | -1.10%  | -         | 1 | ok    
2048 | 8192 | 5  | 64   | 4.00  | 392     | 6.365 | 7.0325 | 12951.5k | 0.91 | 12969.6k | -18.1k  | -0.14%  | -         | 13007.8k | -56.3k  | -0.43%  | -         | 1 | ok    
512  | 2048 | 6  | 16   | 4.00  | 98      | 0.398 | 0.5211 | 952.1k   | 0.76 | 959.1k   | -6.9k   | -0.72%  | -         | 949.5k   | +2.7k   | +0.28%  | -         | 1 | ok    
512  | 4096 | 6  | 32   | 8.00  | 98      | 0.796 | 0.9695 | 1780.1k  | 0.82 | 1744.0k  | +36.1k  | +2.07%  | -         | 1734.8k  | +45.4k  | +2.61%  | -         | 1 | ok    
2048 | 4096 | 5  | 32   | 2.00  | 392     | 3.183 | 3.6582 | 6739.7k  | 0.87 | 6484.0k  | +255.8k | +3.94%  | -         | 6487.1k  | +252.7k | +3.89%  | -         | 1 | ok    
1024 | 4096 | 6  | 32   | 4.00  | 196     | 1.591 | 1.8544 | 3410.4k  | 0.86 | 3280.5k  | +130.0k | +3.96%  | -         | 3277.1k  | +133.4k | +4.07%  | -         | 1 | ok    
256  | 1024 | 5  | 8    | 4.00  | 49      | 0.099 | 0.2218 | 397.4k   | 0.45 | 372.4k   | +25.0k  | +6.71%  | -         | 378.6k   | +18.8k  | +4.96%  | -         | 1 | ok    
512  | 1024 | 5  | 8    | 2.00  | 98      | 0.199 | 0.3630 | 662.4k   | 0.55 | 618.0k   | +44.4k  | +7.18%  | -         | 582.8k   | +79.6k  | +13.66% | -         | 1 | ok    
2048 | 2048 | 5  | 16   | 1.00  | 392     | 1.591 | 2.0418 | 3756.3k  | 0.78 | 3303.1k  | +453.1k | +13.72% | -         | 3295.7k  | +460.5k | +13.97% | -         | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00  | 196     | 0.398 | 0.7280 | 1333.7k  | 0.55 | 1089.9k  | +243.9k | +22.38% | -         | 1010.9k  | +322.8k | +31.93% | -         | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50  | 392     | 0.796 | 1.4651 | 2692.1k  | 0.54 | 2093.6k  | +598.5k | +28.59% | -         | 1965.6k  | +726.5k | +36.96% | -         | 1 | ok    
