
── by raw size ──
N    | K    | NS | K_it | K/N   | tile/cl | floor | ms     | cyc      | eff  | cb_bias  | Δb      | Δb%     | cb_b algo              | cb_none  | Δn      | Δn%     | cb_n algo              | v | status
-----+------+----+------+-------+---------+-------+--------+----------+------+----------+---------+---------+------------------------+----------+---------+---------+------------------------+---+-------
256  | 1024 | 5  | 8    | 4.00  | 49      | 0.099 | 0.2217 | 398.1k   | 0.45 | 372.5k   | +25.5k  | +6.85%  | id=29/st36/2x1x1/sk1   | 378.7k   | +19.4k  | +5.13%  | id=20/st36/2x1x1/sk1   | 1 | ok    
256  | 2048 | 6  | 16   | 8.00  | 49      | 0.199 | 0.3517 | 634.9k   | 0.57 | 668.0k   | -33.1k  | -4.96%  | 128x256/st36/2x1x1/sk1 | 669.6k   | -34.6k  | -5.17%  | 128x256/st36/2x1x1/sk1 | 1 | ok    
256  | 4096 | 6  | 32   | 16.00 | 49      | 0.398 | 0.6337 | 1152.7k  | 0.63 | 1180.7k  | -28.1k  | -2.38%  | 128x256/st36/2x1x1/sk1 | 1179.9k  | -27.2k  | -2.31%  | 128x256/st36/2x1x1/sk1 | 1 | ok    
256  | 8192 | 6  | 64   | 32.00 | 49      | 0.796 | 1.1772 | 2151.7k  | 0.68 | 2417.8k  | -266.1k | -11.01% | id=177/st36/2x1x1/sk1  | 2416.8k  | -265.0k | -10.97% | 128x256/st36/2x1x1/sk1 | 1 | ok    
512  | 1024 | 5  | 8    | 2.00  | 98      | 0.199 | 0.3627 | 661.9k   | 0.55 | 618.8k   | +43.1k  | +6.97%  | 128x256/st36/2x1x1/sk1 | 582.0k   | +79.9k  | +13.72% | 128x256/st36/2x1x1/sk1 | 1 | ok    
512  | 2048 | 6  | 16   | 4.00  | 98      | 0.398 | 0.5212 | 952.5k   | 0.76 | 959.1k   | -6.6k   | -0.69%  | 128x256/st36/2x1x1/sk1 | 949.2k   | +3.3k   | +0.35%  | 128x256/st36/2x1x1/sk1 | 1 | ok    
512  | 4096 | 6  | 32   | 8.00  | 98      | 0.796 | 0.9698 | 1779.6k  | 0.82 | 1743.9k  | +35.7k  | +2.05%  | 128x256/st36/2x1x1/sk1 | 1736.0k  | +43.6k  | +2.51%  | 128x256/st36/2x1x1/sk1 | 1 | ok    
512  | 8192 | 6  | 64   | 16.00 | 98      | 1.591 | 1.8390 | 3384.3k  | 0.87 | 3574.2k  | -189.9k | -5.31%  | 128x256/st36/2x1x1/sk1 | 3542.7k  | -158.4k | -4.47%  | id=513/st36/2x1x1/sk1  | 1 | ok    
1024 | 1024 | 5  | 8    | 1.00  | 196     | 0.398 | 0.7281 | 1333.9k  | 0.55 | 1090.6k  | +243.3k | +22.30% | 128x256/st36/2x1x1/sk1 | 1011.8k  | +322.1k | +31.83% | 128x256/st36/2x1x1/sk1 | 1 | ok    
1024 | 2048 | 6  | 16   | 2.00  | 196     | 0.796 | 0.9217 | 1691.2k  | 0.86 | 1729.5k  | -38.3k  | -2.21%  | 128x256/st36/2x1x1/sk1 | 1719.6k  | -28.3k  | -1.65%  | 128x256/st36/2x1x1/sk1 | 1 | ok    
1024 | 4096 | 6  | 32   | 4.00  | 196     | 1.591 | 1.8528 | 3409.6k  | 0.86 | 3280.5k  | +129.1k | +3.94%  | 128x256/st36/2x1x1/sk1 | 3277.5k  | +132.1k | +4.03%  | 128x256/st36/2x1x1/sk1 | 1 | ok    
1024 | 8192 | 6  | 64   | 8.00  | 196     | 3.183 | 3.5349 | 6512.0k  | 0.90 | 6593.9k  | -81.9k  | -1.24%  | 128x192/st36/2x1x1/sk1 | 6580.9k  | -68.9k  | -1.05%  | 128x192/st36/2x1x1/sk1 | 1 | ok    
2048 | 1024 | 5  | 8    | 0.50  | 392     | 0.796 | 1.4646 | 2691.4k  | 0.54 | 2092.9k  | +598.6k | +28.60% | 128x256/st36/2x1x1/sk1 | 1964.3k  | +727.1k | +37.02% | 128x256/st36/2x1x1/sk1 | 1 | ok    
2048 | 2048 | 5  | 16   | 1.00  | 392     | 1.591 | 2.0427 | 3761.1k  | 0.78 | 3303.0k  | +458.1k | +13.87% | 128x256/st36/2x1x1/sk1 | 3295.7k  | +465.4k | +14.12% | 128x256/st36/2x1x1/sk1 | 1 | ok    
