metric                          w3_strip          w3_fused     cutlass_fused     cutlass_strip      hybrid_fused      hybrid_strip      phase4_strip      phase4_fused
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
long_scoreboard                    2.54M             2.55M             2.74M             2.44M             2.75M             2.44M             5.89M             6.87M
short_scoreboard                    1.2K            138.9K            135.9K             30.3K            135.7K             30.8K            213.9K            422.2K
wait                              254.5K            376.6K            228.2K            141.0K            228.2K            141.0K            654.6K            905.3K
barrier                           227.5K            298.1K             31.1K             91.4K             31.0K             91.0K            177.9K            140.3K
sleeping                           14.6K             37.6K              0.00              0.00              0.00              0.00              0.00            104.89
not_selected                      690.83              5.8K             21.9K             25.6K             21.8K             25.6K             41.1K             36.8K
mio_throttle                       16.02             16.07              3.8K              2.2K              3.7K              2.2K              2.5K              3.2K
math_throttle                     170.20              1.8K              2.6K            604.42              2.5K            608.20              7.1K              7.2K
dram_read_bytes                     3.33              6.30              4.28              2.85              4.28              2.85              2.85              4.28
dram_write_bytes                    8.10              1.42              1.40              1.40              1.40              1.40              1.41              1.41
dram_pct                           26.02             52.20             42.11             31.98             42.10             31.99             13.27             16.89
lts_pct                            72.41             69.54             70.04             66.88             70.18             65.89             57.58             57.78
l1tex_pct                          48.49             49.09             53.55             52.06             53.65             52.03             41.94             41.79
sm_pct                             97.34             86.74             93.65             95.06             93.84             95.00             76.28             72.42
shared_pct                         96.98             83.85             91.98             93.68             92.16             93.62             75.80             72.04
warps_active                        7.00              7.00              7.50              6.50              7.50              6.50              6.91              7.77
cycles_active                      1.82M             2.10M             1.94M             1.91M             1.94M             1.91M             4.65M             4.90M
inst_executed                     42.63M           101.09M           163.09M           141.73M           163.09M           141.73M           345.76M           396.37M
warps_eligible                      0.04              0.08              0.15              0.14              0.15              0.14              0.13              0.14
regs_per_thread                    41.00            117.00            252.00            186.00            252.00            186.00            166.00            228.00
occupancy                            n/a               n/a               n/a               n/a               n/a               n/a               n/a               n/a
smem_wavefronts                   101.9K            39.89M            60.39M            20.00M            60.46M            19.96M            35.47M           113.78M
smem_ld_wf                          2.1K            24.90M            38.04M            440.9K            37.94M            437.9K            468.1K            70.01M
smem_st_wf                          1.2K            13.59M            19.00M            16.44M            19.07M            16.50M            28.67M            36.84M
global_ld_wf                         n/a               n/a               n/a               n/a               n/a               n/a               n/a               n/a
