Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,065.0 |     435,203.0 |  20975.2% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         15.93 |       2,176.7 |  13564.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       4,201.9 |      25,584.2 |    508.9% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      25,746.2 |          0.00 |   -100.0% | warp
smsp__inst_executed.sum                                                |    71,149,515 |   141,729,634 |     99.2% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,292.7 |         586.7 |    -74.4% | warp
launch__registers_per_thread                                           |         110.0 |         186.0 |     69.1% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     280,183.8 |      92,293.3 |    -67.1% | warp
smsp__warps_issue_stalled_wait.avg                                     |     338,422.5 |     140,958.3 |    -58.3% | warp
dram__sectors_read.sum                                                 |   112,929,744 |    89,190,608 |    -21.0% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,158,651 |    19,913,789 |     16.1% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,259.8 |      30,459.3 |     16.0% | warp
lts__t_sectors_op_read.sum                                             |   609,237,610 |   554,050,035 |     -9.1% | sector
lts__t_sectors.sum                                                     |   677,574,949 |   621,144,601 |     -8.3% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,559,280 |     2,429,136 |     -5.1% | warp
