Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_mio_throttle.avg                             |         15.83 |       3,753.0 |  23608.3% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       6,312.1 |      21,915.5 |    247.2% | warp
launch__registers_per_thread                                           |         126.0 |         252.0 |    100.0% | register/thread
smsp__warps_issue_stalled_sleeping.avg                                 |      24,900.5 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     278,129.4 |      31,249.6 |    -88.8% | warp
smsp__inst_executed.sum                                                |   102,732,333 |   163,088,684 |     58.8% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    24,393,602 |    37,878,448 |     55.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    39,882,299 |    60,352,004 |     51.3% | 
smsp__warps_issue_stalled_wait.avg                                     |     389,735.7 |     228,150.6 |    -41.5% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    14,016,939 |    18,978,764 |     35.4% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,041.5 |       2,551.2 |     25.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,306,964 |     2,724,626 |     18.1% | warp
dram__sectors_read.sum                                                 |   151,463,832 |   133,745,368 |    -11.7% | sector
lts__t_sectors_op_read.sum                                             |   671,277,912 |   614,292,852 |     -8.5% | sector
lts__t_sectors.sum                                                     |   739,980,232 |   681,586,471 |     -7.9% | sector
