Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_mio_throttle.avg                             |         22.85 |       3,753.0 |  16324.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       6,908.5 |      21,915.5 |    217.2% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       4,985.6 |          0.00 |   -100.0% | warp
smsp__inst_executed.sum                                                |   107,419,076 |   163,088,684 |     51.8% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    25,151,106 |    37,878,448 |     50.6% | 
launch__registers_per_thread                                           |         168.0 |         252.0 |     50.0% | register/thread
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    41,015,080 |    60,352,004 |     47.1% | 
smsp__warps_issue_stalled_wait.avg                                     |     414,555.1 |     228,150.6 |    -45.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    14,114,777 |    18,978,764 |     34.5% | 
smsp__warps_issue_stalled_barrier.avg                                  |      40,024.4 |      31,249.6 |    -21.9% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     147,504.8 |     135,455.1 |     -8.2% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,961,127 |     2,724,626 |     -8.0% | warp
