Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_barrier.avg                                  |      45,954.6 |     945,280.6 |   1957.0% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       4,187.4 |      41,499.4 |    891.1% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,689,473 |     1,792,261 |    -33.4% | warp
launch__registers_per_thread                                           |         163.0 |         122.0 |    -25.2% | register/thread
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    30,712,001 |    23,571,384 |    -23.3% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     197,927.9 |     152,398.2 |    -23.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    51,112,264 |    41,515,275 |    -18.8% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    18,665,321 |    16,216,540 |    -13.1% | 
smsp__cycles_active.avg                                                |     1,856,871 |     2,056,981 |     10.8% | cycle
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,470.7 |       2,717.0 |     10.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       7,062.4 |       7,628.8 |      8.0% | warp
smsp__warps_issue_stalled_wait.avg                                     |     407,483.9 |     379,928.2 |     -6.8% | warp
