Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,010.0 |     451,459.0 |  22360.6% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         17.57 |       3,511.7 |  19886.6% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,381.4 |      28,002.2 |   1075.9% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,329.6 |     203,949.0 |    674.6% | warp
launch__registers_per_thread                                           |         111.0 |         255.0 |    129.7% | register/thread
smsp__warps_issue_stalled_sleeping.avg                                 |      24,232.7 |         227.2 |    -99.1% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     281,388.3 |      64,818.4 |    -77.0% | warp
smsp__warps_issue_stalled_wait.avg                                     |     332,168.1 |     188,319.2 |    -43.3% | warp
dram__sectors_read.sum                                                 |   139,493,032 |    91,988,872 |    -34.1% | sector
smsp__inst_executed.sum                                                |    70,337,459 |    89,717,496 |     27.6% | inst
smsp__warps_issue_stalled_not_selected.avg                             |       4,222.2 |       4,814.9 |     14.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,426,651 |     2,259,946 |     -6.9% | warp
lts__t_sectors_op_read.sum                                             |   622,089,995 |   582,132,058 |     -6.4% | sector
lts__t_sectors.sum                                                     |   690,154,978 |   649,645,015 |     -5.9% | sector
