Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_barrier.avg                                  |      44,575.9 |     273,294.6 |    513.1% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       3,766.6 |      21,670.8 |    475.3% | warp
dram__sectors_read.sum                                                 |   133,746,864 |   211,518,512 |     58.1% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         42.76 |         57.10 |     33.5% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    15,052,714 |    19,171,154 |     27.4% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     215,977.0 |     165,483.5 |    -23.4% | warp
launch__registers_per_thread                                           |         164.0 |         126.0 |    -23.2% | register/thread
lts__t_sector_hit_rate.pct                                             |         57.31 |         45.13 |    -21.3% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,674,042 |     2,149,627 |    -19.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    32,986,170 |    26,917,828 |    -18.4% | 
lts__t_sectors_op_read.sum                                             |   611,038,584 |   681,404,043 |     11.5% | sector
lts__t_sectors.sum                                                     |   682,506,587 |   749,390,123 |      9.8% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       7,163.1 |       6,686.1 |     -6.7% | warp
smsp__inst_executed.sum                                                |   107,969,416 |   101,908,310 |     -5.6% | inst
