Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |       2,482.0 |    16,506,005 | 664928.4% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      88,225.0 |    17,654,744 |  19911.0% | 
dram__sectors_write.sum                                                |     374,704.0 |    44,429,640 |  11757.3% | sector
lts__t_sectors_op_write.sum                                            |     664,851.0 |    67,503,588 |  10053.2% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |       1,440.7 |      26,329.6 |   1727.5% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         237.7 |       2,381.4 |    902.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         633.0 |       4,222.2 |    567.0% | warp
launch__registers_per_thread                                           |         48.00 |         111.0 |    131.2% | register/thread
dram__bytes_write.sum                                                  |         11.99 |          1.42 |    -88.2% | Mbyte
smsp__warps_issue_stalled_sleeping.avg                                 |      13,922.5 |      24,232.7 |     74.1% | warp
smsp__inst_executed.sum                                                |    44,054,293 |    70,337,459 |     59.7% | inst
smsp__warps_issue_stalled_wait.avg                                     |     263,589.3 |     332,168.1 |     26.0% | warp
lts__t_sectors.sum                                                     |   548,669,441 |   690,154,978 |     25.8% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     224,837.1 |     281,388.3 |     25.2% | warp
dram__sectors_read.sum                                                 |   165,805,816 |   139,493,032 |    -15.9% | sector
lts__t_sectors_op_read.sum                                             |   547,676,787 |   622,089,995 |     13.6% | sector
