N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,2,1,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.511,2897.86,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,1,0,4,0,0,0,0,255,0,224.125,1.512,2896.39,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,1,0,4,0,0,0,1,255,0,224.125,1.512,2897.55,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=200
5,4,2,1,64,60,2,1,1,4,0,0,1,0,255,0,224.125,1.514,2892.69,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,120,2,1,1,4,0,0,1,0,255,0,224.125,1.514,2892.21,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,200,2,1,1,4,0,0,1,0,255,0,224.125,1.514,2893.26,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,200,2,1,0,4,0,0,1,0,255,0,224.125,1.514,2892.34,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,1,0,4,0,0,1,0,255,0,224.125,1.514,2892.72,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,1,0,4,0,0,1,1,255,0,224.125,1.514,2893.03,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,1,0,4,0,0,2,1,255,0,224.125,1.514,2893.69,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=200
5,4,2,1,64,100,2,1,1,4,0,0,1,0,255,0,224.125,1.515,2891.09,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,200,2,1,0,4,0,3,1,0,255,0,224.125,1.515,2891.96,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,2,1,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.515,2891.73,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,1,1,4,0,3,1,0,255,0,224.125,1.515,2891.7,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,2,1,32,200,2,1,0,4,0,0,2,0,255,0,224.125,1.515,2891.72,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=200
5,4,2,1,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.516,2888.54,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.516,2889.36,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,2,1,64,160,2,1,1,4,0,0,1,0,255,0,224.125,1.516,2889.81,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
5,4,2,0,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.517,2887.1,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,2,1,64,80,2,1,1,4,0,0,1,0,255,0,224.125,1.517,2887.86,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DTMEM_LOAD_WIDTH=64
5,4,1,1,32,0,2,1,1,4,0,0,1,0,255,0,224.125,1.518,2884.75,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0
5,4,2,0,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.518,2885.79,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=200
