N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,120,2,1,0,6,0,1,1,0,0,0,165,0,193.0,0.525,2087.25,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,1,8,0,3,1,0,0,0,209,0,193.0,0.525,2084.91,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.526,2080.42,OK,-DSTAGGER_CYCLES=120
4,4,2,1,32,160,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.526,2082.87,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,120,2,1,0,6,0,3,1,0,0,0,173,0,193.0,0.526,2080.44,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,2,1,0,8,0,3,1,0,0,0,209,0,193.0,0.526,2081.79,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,2,1,0,8,4,3,1,0,0,0,209,0,193.0,0.526,2080.01,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,6,0,0,1,0,0,0,173,0,193.0,0.526,2083.29,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,1,6,0,3,1,0,0,0,173,0,193.0,0.526,2083.31,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,2,1,1,8,0,0,1,0,0,0,209,0,193.0,0.526,2080.06,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,0,6,0,1,0,0,0,0,165,0,193.0,0.526,2081.35,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,0,6,0,1,1,1,0,0,180,0,193.0,0.526,2080.4,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,0,6,0,1,0,0,0,0,165,0,193.0,0.526,2080.34,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,40,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.527,2078.5,OK,-DSTAGGER_CYCLES=40
4,4,2,0,32,80,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.527,2077.52,OK,
4,4,2,1,32,60,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.527,2076.56,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,2,1,32,120,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.527,2076.66,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,2,1,32,200,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.527,2078.07,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,0,32,120,2,1,0,4,0,3,1,0,0,0,209,0,193.0,0.527,2078.31,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,2,1,0,4,4,3,1,0,0,0,209,0,193.0,0.527,2077.18,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,0,6,0,0,1,0,0,0,173,0,193.0,0.527,2076.6,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,0,6,4,0,1,0,0,0,173,0,193.0,0.527,2078.43,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,0,6,4,3,1,0,0,0,173,0,193.0,0.527,2075.87,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,0,8,0,0,1,0,0,0,209,0,193.0,0.527,2076.61,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,0,8,0,1,1,0,0,0,165,0,193.0,0.527,2077.86,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.527,2079.69,OK,-DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,1,4,4,3,1,0,0,0,209,0,193.0,0.527,2076.56,OK,-DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,6,4,0,1,0,0,0,173,0,193.0,0.527,2076.08,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,6,4,3,1,0,0,0,173,0,193.0,0.527,2076.74,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
