Kernel: fc2 (fc2.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 -DK_LOOP_UNROLL=4 ... 2.043 ms / 2144 TFLOPS  (208 regs, 3.1s)
[2/3] (defaults) ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.1s)
[3/3] -DN_STAGES=5 -DK_LOOP_UNROLL=4 ... 2.406 ms / 1820 TFLOPS  (217 regs, 3.0s)

Tier 1 winner (top-3): (defaults) → 1.656 ms / 2645 TFLOPS
  #2: -DN_STAGES=3 -DK_LOOP_UNROLL=4 → 2.043 ms / 2144 TFLOPS
  #3: -DN_STAGES=5 -DK_LOOP_UNROLL=4 → 2.406 ms / 1820 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/3: (defaults)
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[1/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=0 ... 1.670 ms / 2622 TFLOPS  (254 regs, 3.0s)
[2/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.683 ms / 2603 TFLOPS  (255 regs, 3.3s)
[3/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=40 ... 1.671 ms / 2621 TFLOPS  (254 regs, 2.9s)
[4/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.682 ms / 2604 TFLOPS  (255 regs, 3.2s)
[5/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=60 ... 1.669 ms / 2624 TFLOPS  (254 regs, 3.0s)
[6/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.679 ms / 2609 TFLOPS  (255 regs, 3.2s)
[7/128] -DINTERLEAVE_STRATEGY=0 ... 1.667 ms / 2628 TFLOPS  (254 regs, 3.1s)
[8/128] -DINTERLEAVE_STRATEGY=0 -DTMEM_LOAD_WIDTH=64 ... 1.680 ms / 2607 TFLOPS  (255 regs, 3.3s)
[9/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=100 ... 1.666 ms / 2629 TFLOPS  (254 regs, 2.9s)
[10/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.681 ms / 2606 TFLOPS  (255 regs, 3.3s)
