N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,BATCH_EPILOGUE,GELU_VECTOR_WIDTH,STORE_TIMING,EPILOGUE_LOOP,STS_WIDTH,EPI_SYNC,NUM_PASSES_PARAM,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.278,1922.51,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.281,1920.09,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.283,1918.15,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,0,0,244,0,225.0,2.291,1911.73,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,0,0,244,0,225.0,2.301,1903.21,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,5,0,0,32,0,0,16,0,0,244,0,225.0,2.312,1894.15,OK,-DGELU_VARIANT=5 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,5,0,0,32,0,0,16,0,0,244,0,225.0,2.32,1887.98,OK,-DGELU_VARIANT=5 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.324,1884.46,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.325,1883.72,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,5,0,0,32,0,0,16,0,0,244,0,225.0,2.325,1883.65,OK,-DGELU_VARIANT=5 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.342,1870.51,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.361,1855.22,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,0,0,244,0,225.0,2.38,1840.34,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,0,0,244,0,225.0,2.416,1812.68,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,0,0,244,0,225.0,2.524,1735.34,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,1,0,244,0,225.0,2.524,1735.6,OK,-DEPI_SYNC=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,1,0,5,0,0,32,0,0,16,0,0,244,0,225.0,2.525,1734.46,OK,-DGELU_VARIANT=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,1,0,246,0,225.0,2.529,1731.96,OK,-DEPI_SYNC=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,0,16,0,0,244,0,225.0,2.542,1723.41,OK,-DGELU_VARIANT=4 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,1,0,246,0,225.0,2.548,1719.0,OK,-DEPI_SYNC=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,0,0,246,0,225.0,2.553,1715.65,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,0,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,0,0,246,0,225.0,2.56,1710.9,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,0,16,0,0,244,0,225.0,2.566,1707.04,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,2,0,4,0,0,32,0,0,16,1,0,246,0,225.0,2.566,1706.63,OK,-DEPI_SYNC=1 -DGELU_VARIANT=4 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,2,1,32,0,4,1,1,5,0,3,2,0,5,0,0,32,0,0,16,1,0,246,0,225.0,2.577,1699.72,OK,-DEPI_SYNC=1 -DGELU_VARIANT=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,1,0,249,0,225.0,2.584,1695.1,OK,-DEPI_SYNC=1 -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,0,0,249,0,225.0,2.585,1694.16,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,1,0,249,0,225.0,2.586,1693.79,OK,-DEPI_SYNC=1 -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,2,0,0,0,0,32,0,0,16,1,0,249,0,225.0,2.59,1690.91,OK,-DEPI_SYNC=1 -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
