layer,approach,run,ms
patch_embed,our_kernel,0,0.525
patch_embed,our_kernel,1,0.526
patch_embed,our_kernel,2,0.525
patch_embed,our_kernel,3,0.525
patch_embed,our_kernel,4,0.527
patch_embed,our_kernel,5,0.525
patch_embed,our_kernel,6,0.525
patch_embed,our_kernel,7,0.526
patch_embed,our_kernel,8,0.526
patch_embed,our_kernel,9,0.527
fc1,our_kernel,0,2.306
fc1,our_kernel,1,2.31
fc1,our_kernel,2,2.336
fc1,our_kernel,3,2.325
fc1,our_kernel,4,2.281
fc1,our_kernel,5,2.303
fc1,our_kernel,6,2.291
fc1,our_kernel,7,2.352
fc1,our_kernel,8,2.304
fc1,our_kernel,9,2.299
fc2,our_kernel,0,1.473
fc2,our_kernel,1,1.475
fc2,our_kernel,2,1.473
fc2,our_kernel,3,1.474
fc2,our_kernel,4,1.474
fc2,our_kernel,5,1.472
fc2,our_kernel,6,1.473
fc2,our_kernel,7,1.474
fc2,our_kernel,8,1.473
fc2,our_kernel,9,1.474
