N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,BATCH_EPILOGUE,GELU_VECTOR_WIDTH,STORE_TIMING,EPILOGUE_LOOP,STS_WIDTH,EPI_SYNC,NUM_PASSES_PARAM,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,178,0,193.0,0.524,2088.41,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,8,4,0,1,0,0,0,0,32,0,0,16,0,0,210,0,193.0,0.525,2084.83,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,4,0,0,1,0,0,0,0,32,0,0,16,0,0,210,0,193.0,0.526,2083.02,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,178,0,193.0,0.526,2080.11,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,4,0,1,0,0,0,0,32,0,0,16,0,0,174,0,193.0,0.526,2082.53,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,8,0,0,1,0,0,0,0,32,0,0,16,0,0,214,0,193.0,0.526,2080.92,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,178,0,193.0,0.526,2083.35,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,178,0,193.0,0.526,2082.79,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,4,0,0,1,0,0,0,0,32,0,0,16,0,0,210,0,193.0,0.527,2076.01,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,4,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,222,0,193.0,0.527,2079.16,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,4,4,0,1,0,0,0,0,32,0,0,16,0,0,210,0,193.0,0.528,2072.79,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,8,4,0,1,0,0,0,0,32,0,0,16,0,0,210,0,193.0,0.528,2073.59,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,4,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,222,0,193.0,0.528,2074.81,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,4,1,1,8,4,0,1,0,0,0,0,32,0,0,16,0,0,255,0,193.0,0.529,2070.09,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,4,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,222,0,193.0,0.529,2071.82,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,4,1,1,4,0,0,1,0,0,0,0,32,0,0,16,0,0,255,0,193.0,0.53,2067.24,OK,-DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
5,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,186,0,225.0,0.536,2041.98,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,2,1,32,160,2,1,1,5,0,0,1,0,0,0,0,32,0,0,16,0,0,234,0,225.0,0.537,2037.31,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,2,1,32,160,2,1,1,8,0,0,1,0,0,0,0,32,0,0,16,0,0,186,0,225.0,0.54,2026.35,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,4,1,1,6,0,0,1,0,0,0,0,32,1,0,16,0,0,222,0,193.0,0.55,1991.02,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
4,4,2,1,32,160,4,1,1,6,0,0,1,0,0,0,0,32,1,0,16,0,0,222,0,193.0,0.55,1990.31,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,1,0,16,0,0,178,0,193.0,0.553,1981.46,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,1,0,16,0,0,178,0,193.0,0.553,1980.83,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
3,4,2,1,32,160,2,1,1,8,0,0,1,0,0,0,0,32,0,0,16,0,0,169,0,161.0,0.554,1976.08,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160
3,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,169,0,161.0,0.555,1972.65,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160
3,4,2,1,32,160,2,1,1,2,0,0,1,0,0,0,0,32,0,0,16,0,0,157,0,161.0,0.565,1936.47,OK,-DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,1,1,16,0,0,146,0,193.0,0.565,1938.5,OK,-DEPILOGUE_LOOP=1 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
3,4,2,1,32,160,2,1,1,1,0,0,1,0,0,0,0,32,0,0,16,0,0,157,0,161.0,0.567,1931.22,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160
3,4,2,1,32,160,2,1,1,3,0,0,1,0,0,0,0,32,0,0,16,0,0,157,0,161.0,0.568,1927.12,OK,-DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,0,0,1,0,0,0,0,32,1,1,16,0,0,146,0,193.0,0.568,1929.41,OK,-DEPILOGUE_LOOP=1 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
3,4,2,1,32,160,2,1,1,6,4,0,1,0,0,0,0,32,0,0,16,0,0,155,0,161.0,0.569,1923.92,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
3,4,2,1,32,160,2,1,1,8,1,0,1,0,0,0,0,32,0,0,16,0,0,155,0,161.0,0.57,1919.64,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
3,4,2,1,32,160,2,1,1,8,4,0,1,0,0,0,0,32,0,0,16,0,0,155,0,161.0,0.571,1918.06,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
3,4,2,1,32,160,2,1,1,6,1,0,1,0,0,0,0,32,0,0,16,0,0,155,0,161.0,0.573,1910.38,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
4,4,2,1,32,160,1,1,1,6,0,0,1,0,0,0,0,32,1,0,16,0,0,146,0,193.0,0.578,1895.98,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=160 -DSTORE_TIMING=1
3,4,2,1,32,160,2,1,1,1,4,0,1,0,0,0,0,32,0,0,16,0,0,143,0,161.0,0.58,1888.28,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
3,4,2,1,32,160,2,1,1,3,4,0,1,0,0,0,0,32,0,0,16,0,0,143,0,161.0,0.58,1888.18,OK,-DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
3,4,2,1,32,160,2,1,1,2,4,0,1,0,0,0,0,32,0,0,16,0,0,143,0,161.0,0.581,1884.02,OK,-DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
3,4,2,1,32,160,2,1,1,2,1,0,1,0,0,0,0,32,0,0,16,0,0,143,0,161.0,0.583,1879.68,OK,-DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
3,4,2,1,32,160,2,1,1,3,1,0,1,0,0,0,0,32,0,0,16,0,0,143,0,161.0,0.583,1877.07,OK,-DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
3,4,2,1,32,160,2,1,1,1,1,0,1,0,0,0,0,32,0,0,16,0,0,143,0,161.0,0.584,1875.82,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DN_STAGES=3 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
4,4,2,1,32,160,1,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,145,0,193.0,0.628,1743.11,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,1,1,1,6,0,0,1,0,0,0,0,32,0,0,16,0,0,145,0,193.0,0.628,1742.27,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,1,1,1,8,4,0,1,0,0,0,0,32,0,0,16,0,0,177,0,193.0,0.632,1733.62,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,1,1,1,4,0,0,1,0,0,0,0,32,0,0,16,0,0,177,0,193.0,0.645,1697.36,OK,-DMBAR_EARLY=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,1,4,0,1,0,0,0,0,32,0,0,16,0,0,163,0,193.0,0.664,1648.07,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,2,0,0,1,0,0,0,0,32,0,0,16,0,0,163,0,193.0,0.664,1649.28,OK,-DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,2,4,0,1,0,0,0,0,32,0,0,16,0,0,163,0,193.0,0.664,1649.81,OK,-DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,1,0,0,1,0,0,0,0,32,0,0,16,0,0,163,0,193.0,0.667,1642.04,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,6,1,0,1,0,0,0,0,32,0,0,16,0,0,159,0,193.0,0.674,1623.75,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
4,4,2,1,32,160,2,1,1,8,1,0,1,0,0,0,0,32,0,0,16,0,0,196,0,193.0,0.68,1609.21,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
4,4,2,1,32,160,2,1,1,4,1,0,1,0,0,0,0,32,0,0,16,0,0,196,0,193.0,0.684,1600.0,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
4,4,2,1,32,160,2,1,1,2,1,0,1,0,0,0,0,32,0,0,16,0,0,145,0,193.0,0.758,1444.3,OK,-DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
4,4,2,1,32,160,2,1,1,1,1,0,1,0,0,0,0,32,0,0,16,0,0,145,0,193.0,0.767,1426.96,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
5,4,2,1,32,160,2,1,1,8,4,0,1,0,0,0,0,32,0,0,16,0,0,163,0,225.0,0.824,1328.83,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
5,4,2,1,32,160,2,1,1,5,4,0,1,0,0,0,0,32,0,0,16,0,0,212,0,225.0,0.827,1323.39,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
5,4,2,1,32,160,2,1,1,6,4,0,1,0,0,0,0,32,0,0,16,0,0,163,0,225.0,0.828,1322.41,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
5,4,2,1,32,160,2,1,1,5,1,0,1,0,0,0,0,32,0,0,16,0,0,212,0,225.0,0.86,1273.04,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
5,4,2,1,32,160,2,1,1,8,1,0,1,0,0,0,0,32,0,0,16,0,0,163,0,225.0,0.86,1273.34,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
5,4,2,1,32,160,2,1,1,6,1,0,1,0,0,0,0,32,0,0,16,0,0,163,0,225.0,0.861,1271.59,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=1
5,4,2,1,32,160,2,1,1,1,0,0,1,0,0,0,0,32,0,0,16,0,0,167,0,225.0,0.865,1266.5,OK,-DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160
