N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,1,1,64,80,2,1,1,239,0,192.125,0.522,2095.75,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64
4,4,2,1,32,100,2,1,1,211,0,192.125,0.522,2098.3,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,1,1,64,160,2,1,1,239,0,192.125,0.523,2092.62,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,120,2,1,1,209,0,192.125,0.523,2091.77,OK,-DSTAGGER_CYCLES=120
4,4,2,1,32,60,2,1,1,211,0,192.125,0.523,2092.39,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,2,1,32,80,2,1,1,211,0,192.125,0.523,2093.24,OK,-DMBAR_EARLY=1
4,4,2,1,32,120,2,1,1,211,0,192.125,0.523,2093.71,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,2,1,32,160,2,1,1,211,0,192.125,0.523,2093.92,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,1,1,64,80,2,1,0,239,0,192.125,0.523,2092.66,OK,-DCVT_ADD_FUSED=0 -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,80,4,1,1,234,0,192.125,0.523,2093.42,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,100,2,1,1,239,0,192.125,0.524,2090.89,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,200,2,1,1,239,0,192.125,0.524,2091.72,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,160,2,1,1,209,0,192.125,0.524,2088.4,OK,-DSTAGGER_CYCLES=160
4,4,2,1,32,200,2,1,1,211,0,192.125,0.524,2088.47,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,1,1,64,80,2,1,1,239,0,192.125,0.524,2088.92,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,80,2,1,1,209,0,192.125,0.525,2085.69,OK,
4,5,2,0,32,80,2,1,1,225,0,208.125,0.525,2085.36,OK,-DNUM_EPI_WARPS=5
4,4,1,1,64,60,2,1,1,239,0,192.125,0.525,2087.67,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,120,2,1,1,239,0,192.125,0.525,2087.31,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,40,2,1,1,209,0,192.125,0.525,2084.85,OK,-DSTAGGER_CYCLES=40
4,4,2,0,32,100,2,1,1,209,0,192.125,0.525,2085.9,OK,-DSTAGGER_CYCLES=100
4,4,2,0,32,200,2,1,1,209,0,192.125,0.525,2086.36,OK,-DSTAGGER_CYCLES=200
4,4,1,1,64,80,4,1,0,234,0,192.125,0.525,2086.67,OK,-DCVT_ADD_FUSED=0 -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,0,2,1,1,237,0,192.125,0.526,2080.11,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,60,2,1,1,209,0,192.125,0.526,2082.07,OK,-DSTAGGER_CYCLES=60
4,4,2,0,32,80,2,1,1,209,0,192.125,0.526,2080.65,OK,
4,4,2,1,32,40,2,1,1,211,0,192.125,0.526,2081.27,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,1,1,32,100,2,1,1,208,0,192.125,0.527,2076.54,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,1,32,0,2,1,1,209,0,192.125,0.527,2076.89,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=0
4,4,1,0,64,80,2,1,1,221,0,192.125,0.528,2074.91,OK,-DINTERLEAVE_STRATEGY=1 -DTMEM_LOAD_WIDTH=64
4,4,1,1,32,120,2,1,1,208,0,192.125,0.528,2074.06,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,1,1,32,160,2,1,1,208,0,192.125,0.528,2073.08,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,0,2,1,1,207,0,192.125,0.528,2074.42,OK,-DSTAGGER_CYCLES=0
4,4,2,0,64,200,2,1,1,255,0,192.125,0.528,2075.8,OK,-DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,160,2,1,1,255,0,192.125,0.528,2072.81,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,200,2,1,1,255,0,192.125,0.528,2072.05,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,80,1,1,0,233,0,192.125,0.528,2073.92,OK,-DCVT_ADD_FUSED=0 -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DPHASE1_UNROLL=1 -DTMEM_LOAD_WIDTH=64
4,4,1,0,64,100,2,1,1,221,0,192.125,0.529,2068.86,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,4,1,0,64,120,2,1,1,221,0,192.125,0.529,2071.38,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
4,4,1,0,64,200,2,1,1,221,0,192.125,0.529,2068.36,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,1,1,32,40,2,1,1,208,0,192.125,0.529,2068.65,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,1,1,32,60,2,1,1,208,0,192.125,0.529,2069.34,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,1,1,32,80,2,1,1,208,0,192.125,0.529,2071.78,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1
